,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,timestamp_to_date,mvrv_ratio
0,1695835800,212.40000000,212.40000000,211.70000000,212.10000000,3462.46400000,1695836699999,734082.78750000,1380,1291.78600000,273846.83020000,0,2023-09-27 17:30:00,0.9997643176997407
1,1695836700,212.00000000,212.20000000,211.60000000,211.80000000,2256.01500000,1695837599999,478097.13930000,1060,799.16600000,169393.82310000,0,2023-09-27 17:45:00,0.9995280792826805
2,1695837600,211.70000000,211.80000000,210.50000000,211.40000000,27842.68200000,1695838499999,5875047.66560000,6072,10004.48500000,2111244.75970000,0,2023-09-27 18:00:00,1.0002365744026496
3,1695838500,211.40000000,211.90000000,211.10000000,211.80000000,7462.09100000,1695839399999,1578818.35580000,1679,4728.06900000,1000423.72200000,0,2023-09-27 18:15:00,1.0011817537225243
4,1695839400,211.90000000,212.20000000,211.80000000,212.00000000,2661.58300000,1695840299999,564147.40700000,1119,1045.05100000,221532.63950000,0,2023-09-27 18:30:00,1.0001179384361363
5,1695840300,212.00000000,212.10000000,211.60000000,211.70000000,1992.80100000,1695841199999,422117.57930000,823,679.16400000,143894.42740000,0,2023-09-27 18:45:00,0.999291951852726
6,1695841200,211.70000000,212.00000000,211.60000000,211.90000000,1986.96800000,1695842099999,420845.08670000,934,621.48300000,131671.79660000,0,2023-09-27 19:00:00,1.0004721435316335
7,1695842100,211.90000000,212.10000000,211.60000000,212.00000000,2866.14100000,1695842999999,607018.12800000,903,923.15300000,195522.43520000,0,2023-09-27 19:15:00,1.0004719207173194
8,1695843000,212.00000000,212.00000000,211.40000000,211.60000000,4275.24200000,1695843899999,905007.30200000,1100,799.60700000,169303.03400000,0,2023-09-27 19:30:00,0.9992916174734356
9,1695843900,211.60000000,211.60000000,211.40000000,211.60000000,2371.99000000,1695844799999,501612.98700000,943,604.52300000,127866.31560000,0,2023-09-27 19:45:00,1.0002363507445047
10,1695844800,211.60000000,211.60000000,211.30000000,211.50000000,2312.72100000,1695845699999,489005.06100000,1003,693.75300000,146705.98630000,0,2023-09-27 20:00:00,0.9999999999999999
11,1695845700,211.50000000,211.80000000,211.30000000,211.80000000,2932.99800000,1695846599999,620174.30420000,1110,1341.01800000,283589.77590000,0,2023-09-27 20:15:00,1.0009451795841209
12,1695846600,211.80000000,211.80000000,211.10000000,211.20000000,2631.62800000,1695847499999,556141.09690000,1124,556.63100000,117636.67010000,0,2023-09-27 20:30:00,0.9986996098829647
13,1695847500,211.10000000,211.50000000,211.00000000,211.40000000,2662.55600000,1695848399999,562489.99970000,922,1108.10500000,234142.95990000,0,2023-09-27 20:45:00,1.0007100591715976
14,1695848400,211.40000000,211.40000000,211.20000000,211.40000000,1978.30600000,1695849299999,417972.23830000,886,699.31600000,147775.42220000,0,2023-09-27 21:00:00,1.0002365744026498
15,1695849300,211.30000000,211.50000000,211.30000000,211.50000000,1362.79500000,1695850199999,288047.89700000,682,392.60900000,83005.89630000,0,2023-09-27 21:15:00,1.0004730368968782
16,1695850200,211.50000000,211.50000000,211.20000000,211.50000000,2565.36500000,1695851099999,542239.71500000,824,1317.07200000,278437.03810000,0,2023-09-27 21:30:00,1.0003547357218872
17,1695851100,211.40000000,211.50000000,211.30000000,211.50000000,1303.76000000,1695851999999,275575.11030000,561,404.59900000,85548.19370000,0,2023-09-27 21:45:00,1.0003547357218874
18,1695852000,211.50000000,211.80000000,211.40000000,211.80000000,1893.40200000,1695852899999,400589.56550000,1063,616.35800000,130434.52410000,0,2023-09-27 22:00:00,1.0008269344359126
19,1695852900,211.80000000,211.80000000,211.50000000,211.80000000,2486.46500000,1695853799999,526227.88190000,939,1159.84100000,245493.98930000,0,2023-09-27 22:15:00,1.00035423308537
20,1695853800,211.80000000,211.80000000,211.60000000,211.60000000,2202.91700000,1695854699999,466284.92790000,881,580.79400000,122964.07660000,0,2023-09-27 22:30:00,0.9995276334435522
21,1695854700,211.60000000,211.90000000,211.50000000,211.80000000,2461.13800000,1695855599999,520958.12520000,865,1116.21800000,236313.79710000,0,2023-09-27 22:45:00,1.0004723665564477
22,1695855600,211.80000000,212.00000000,211.60000000,211.90000000,6434.71500000,1695856499999,1363189.98320000,1638,3879.95600000,822088.08590000,0,2023-09-27 23:00:00,1.0003540658562493
23,1695856500,211.80000000,211.90000000,211.60000000,211.70000000,2834.02400000,1695857399999,600025.17640000,877,1146.00100000,242698.88000000,0,2023-09-27 23:15:00,0.9997638724911452
24,1695857400,211.80000000,212.20000000,211.70000000,212.10000000,1631.47300000,1695858299999,345695.07440000,716,895.95300000,189868.53950000,0,2023-09-27 23:30:00,1.0007077140835103
25,1695858300,212.10000000,212.20000000,212.00000000,212.00000000,865.64300000,1695859199999,183596.83270000,504,249.87200000,53021.14780000,0,2023-09-27 23:45:00,0.9996463515265825
26,1695859200,212.10000000,212.50000000,211.90000000,212.40000000,1662.78000000,1695860099999,352668.80100000,1112,1062.15400000,225305.05240000,0,2023-09-28 00:00:00,1.0008245965366946
27,1695860100,212.50000000,213.00000000,212.20000000,212.80000000,8219.81300000,1695860999999,1747642.44090000,1936,4611.57600000,980428.29710000,0,2023-09-28 00:15:00,1.0008230452674898
28,1695861000,212.90000000,213.00000000,212.30000000,212.50000000,3434.52100000,1695861899999,730096.01440000,914,1142.47700000,242829.12730000,0,2023-09-28 00:30:00,0.9991771482308688
29,1695861900,212.60000000,212.80000000,212.20000000,212.20000000,2563.73900000,1695862799999,544655.62520000,1100,1046.87000000,222401.25630000,0,2023-09-28 00:45:00,0.9988232525300069
30,1695862800,212.20000000,212.30000000,211.80000000,212.00000000,3221.28500000,1695863699999,683087.63840000,1110,1675.05900000,355183.63680000,0,2023-09-28 01:00:00,0.9996463515265827
31,1695863700,212.10000000,212.50000000,211.90000000,212.40000000,1192.72900000,1695864599999,253054.92950000,842,814.02900000,172740.04190000,0,2023-09-28 01:15:00,1.0008245965366946
32,1695864600,212.40000000,212.50000000,211.90000000,212.20000000,3262.49900000,1695865499999,692283.91250000,1082,1267.87800000,268965.99760000,0,2023-09-28 01:30:00,0.9997644287396937
33,1695865500,212.20000000,212.50000000,212.10000000,212.50000000,1369.80600000,1695866399999,290793.13160000,1128,599.12400000,127210.59110000,0,2023-09-28 01:45:00,1.0008242081714354
34,1695866400,212.50000000,213.10000000,212.40000000,212.70000000,5850.32900000,1695867299999,1244744.65010000,1865,3068.45400000,652866.03360000,0,2023-09-28 02:00:00,1.000117550252733
35,1695867300,212.60000000,212.80000000,212.20000000,212.30000000,3197.01700000,1695868199999,679345.05900000,1461,1254.63400000,266610.34070000,0,2023-09-28 02:15:00,0.9991763736910225
36,1695868200,212.30000000,212.40000000,212.20000000,212.20000000,2132.88400000,1695869099999,452696.92860000,1380,600.49000000,127486.71370000,0,2023-09-28 02:30:00,0.999646684725003
37,1695869100,212.30000000,212.40000000,212.10000000,212.30000000,1167.12100000,1695869999999,247691.73460000,978,601.16800000,127589.53830000,0,2023-09-28 02:45:00,1.0001177717583323
38,1695870000,212.30000000,212.40000000,211.90000000,212.00000000,1798.28700000,1695870899999,381477.17780000,1377,582.67000000,123644.06070000,0,2023-09-28 03:00:00,0.9992929530992224
39,1695870900,212.00000000,212.10000000,211.80000000,211.90000000,1657.47600000,1695871799999,351286.37050000,1360,1063.36300000,225385.44920000,0,2023-09-28 03:15:00,0.9997640953054967
40,1695871800,212.00000000,212.10000000,211.80000000,212.00000000,1794.76700000,1695872699999,380387.45610000,1265,1142.29600000,242132.88470000,0,2023-09-28 03:30:00,1.0001179384361363
41,1695872700,212.00000000,212.10000000,211.90000000,212.10000000,1079.72400000,1695873599999,228900.93690000,1070,367.52700000,77923.30310000,0,2023-09-28 03:45:00,1.0003537318712414
42,1695873600,212.10000000,212.20000000,211.80000000,211.90000000,1187.44000000,1695874499999,251758.32730000,1134,387.17300000,82112.21880000,0,2023-09-28 04:00:00,0.9995283018867923
43,1695874500,211.90000000,212.10000000,211.80000000,212.00000000,1732.53500000,1695875399999,367267.07450000,839,1003.91700000,212820.59050000,0,2023-09-28 04:15:00,1.0002359046945033
44,1695875400,212.10000000,212.10000000,211.80000000,212.10000000,2869.90100000,1695876299999,608211.48340000,1097,1838.05700000,389548.41700000,0,2023-09-28 04:30:00,1.0003537318712414
45,1695876300,212.10000000,212.20000000,211.80000000,211.80000000,2719.87500000,1695877199999,576619.02070000,1248,1147.05500000,243216.97430000,0,2023-09-28 04:45:00,0.9991744309470457
46,1695877200,211.80000000,212.00000000,211.60000000,211.60000000,3484.45100000,1695878099999,737800.90570000,1575,648.90100000,137446.64810000,0,2023-09-28 05:00:00,0.9992916174734356
47,1695878100,211.60000000,212.10000000,211.50000000,212.00000000,4256.09300000,1695878999999,901038.94100000,1644,1207.30900000,255672.19690000,0,2023-09-28 05:15:00,1.0009442870632672
48,1695879000,212.10000000,212.20000000,211.80000000,212.00000000,4756.88000000,1695879899999,1008197.11760000,1664,1120.88200000,237621.66580000,0,2023-09-28 05:30:00,0.9998820893762528
49,1695879900,211.90000000,212.10000000,211.70000000,212.00000000,4712.31600000,1695880799999,998469.38130000,1430,1446.53800000,306543.75210000,0,2023-09-28 05:45:00,1.0003538987849476
50,1695880800,212.00000000,212.20000000,211.90000000,212.20000000,6504.11400000,1695881699999,1379167.37310000,1987,2147.80900000,455510.15270000,0,2023-09-28 06:00:00,1.0005894141223624
51,1695881700,212.20000000,212.30000000,212.00000000,212.10000000,2722.98100000,1695882599999,577571.27470000,1745,1122.16100000,238048.47150000,0,2023-09-28 06:15:00,0.9997643176997408
52,1695882600,212.20000000,212.40000000,212.10000000,212.30000000,1396.84600000,1695883499999,296499.08820000,699,1082.83000000,229866.59300000,0,2023-09-28 06:30:00,1.0002355712603064
