,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,timestamp_to_date,mvrv_ratio
0,1695836700,15.33000000,15.34000000,15.31000000,15.31000000,394.34000000,1695837599999,6043.66490000,49,66.44000000,1018.22830000,0,2023-09-27 17:45:00,0.9991842062326645
1,1695837600,15.31000000,15.31000000,15.20000000,15.27000000,4435.30000000,1695838499999,67633.54690000,459,1903.92000000,29034.20620000,0,2023-09-27 18:00:00,0.999836307087903
2,1695838500,15.27000000,15.30000000,15.23000000,15.29000000,2518.84000000,1695839399999,38456.65220000,148,1836.12000000,28037.18040000,0,2023-09-27 18:15:00,1.0011458503846782
3,1695839400,15.29000000,15.32000000,15.28000000,15.32000000,1526.28000000,1695840299999,23353.55140000,90,897.94000000,13738.83010000,0,2023-09-27 18:30:00,1.0011436039862767
4,1695840300,15.32000000,15.32000000,15.29000000,15.30000000,637.22000000,1695841199999,9753.34360000,49,278.01000000,4255.57380000,0,2023-09-27 18:45:00,0.9995100440960315
5,1695841200,15.29000000,15.31000000,15.28000000,15.30000000,361.37000000,1695842099999,5526.66480000,57,277.96000000,4250.79320000,0,2023-09-27 19:00:00,1.0003269042170644
6,1695842100,15.29000000,15.33000000,15.29000000,15.31000000,3271.00000000,1695842999999,50089.71320000,115,795.44000000,12183.59190000,0,2023-09-27 19:15:00,1.0003266906239792
7,1695843000,15.31000000,15.32000000,15.28000000,15.28000000,737.16000000,1695843899999,11279.52760000,46,248.22000000,3798.03920000,0,2023-09-27 19:30:00,0.9988560222258538
8,1695843900,15.28000000,15.29000000,15.27000000,15.29000000,667.87000000,1695844799999,10204.85320000,50,441.16000000,6741.13800000,0,2023-09-27 19:45:00,1.0004907574022575
9,1695844800,15.29000000,15.30000000,15.26000000,15.29000000,2124.38000000,1695845699999,32456.64900000,107,734.15000000,11215.77380000,0,2023-09-27 20:00:00,1.0003271180896303
10,1695845700,15.29000000,15.32000000,15.26000000,15.31000000,4855.66000000,1695846599999,74213.37180000,164,1741.08000000,26631.04220000,0,2023-09-27 20:15:00,1.0009807126511931
11,1695846600,15.30000000,15.30000000,15.25000000,15.27000000,5467.08000000,1695847499999,83525.93270000,205,3457.35000000,52825.75500000,0,2023-09-27 20:30:00,0.9993455497382198
12,1695847500,15.27000000,15.31000000,15.25000000,15.30000000,7964.02000000,1695848399999,121739.45960000,171,6353.90000000,97121.32600000,0,2023-09-27 20:45:00,1.0011451006052676
13,1695848400,15.31000000,15.31000000,15.29000000,15.30000000,1928.61000000,1695849299999,29507.13650000,93,814.23000000,12457.99440000,0,2023-09-27 21:00:00,0.9998366280019605
