,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,timestamp_to_date,mvrv_ratio
0,1696094100,26986.47000000,27013.26000000,26986.46000000,27013.26000000,111.21105000,1696094999999,3003053.15072950,5951,60.62717000,1637091.35283120,0,2023-09-30 17:15:00,1.00049620623068
1,1696095000,27013.26000000,27028.31000000,27000.00000000,27028.30000000,82.00560000,1696095899999,2215177.15219440,5463,45.37710000,1225761.44660930,0,2023-09-30 17:30:00,1.0004009443150066
2,1696095900,27028.31000000,27030.18000000,27014.32000000,27017.55000000,88.76396000,1696096799999,2398591.09965140,5570,29.22015000,789560.90230830,0,2023-09-30 17:45:00,0.9998134893805517
3,1696096800,27017.54000000,27017.55000000,27003.64000000,27014.00000000,107.95623000,1696097699999,2916178.43070860,5282,47.83603000,1292130.88216470,0,2023-09-30 18:00:00,1.0000302630021471
4,1696097700,27013.99000000,27014.00000000,26997.21000000,27008.69000000,91.18821000,1696098599999,2462603.73851480,5020,41.65445000,1124821.29590440,0,2023-09-30 18:15:00,1.000008053028545
5,1696098600,27008.69000000,27013.40000000,26989.57000000,26995.60000000,105.64411000,1696099499999,2852801.60920360,5585,41.64992000,1124635.20408400,0,2023-09-30 18:30:00,0.9997698302873342
6,1696099500,26995.60000000,27003.25000000,26990.03000000,26999.98000000,85.92549000,1696100399999,2319791.34714600,4412,39.54911000,1067652.45344520,0,2023-09-30 18:45:00,1.0001024179716316
7,1696100400,26999.98000000,27003.25000000,26987.78000000,26994.01000000,169.65764000,1696101299999,4580592.60260430,6423,56.83462000,1534404.85357910,0,2023-09-30 19:00:00,0.9999168403172959
8,1696101300,26994.02000000,27000.00000000,26990.45000000,26999.00000000,87.57213000,1696102199999,2363981.04774400,4468,47.37471000,1278877.63099560,0,2023-09-30 19:15:00,1.0001160362785155
9,1696102200,26999.01000000,27037.04000000,26999.00000000,27034.53000000,222.70199000,1696103099999,6016738.62409070,6963,169.54934000,4580213.97874680,0,2023-09-30 19:30:00,1.0006342210268606
10,1696103100,27034.53000000,27034.53000000,27016.88000000,27020.70000000,171.22378000,1696103999999,4626939.94762190,5541,40.62070000,1097683.09571140,0,2023-09-30 19:45:00,0.9997794770052978
11,1696104000,27020.70000000,27047.67000000,27020.69000000,27038.90000000,113.52857000,1696104899999,3069702.87032600,5523,58.67924000,1586451.22824620,0,2023-09-30 20:00:00,1.0002556230599375
12,1696104900,27038.89000000,27054.44000000,27027.23000000,27029.71000000,117.19979000,1696105799999,3169419.31959810,5724,65.20484000,1763277.87515480,0,2023-09-30 20:15:00,0.9997093858387964
13,1696105800,27029.70000000,27068.59000000,27029.70000000,27067.00000000,85.54681000,1696106699999,2314165.37852230,5621,50.83095000,1375113.69102290,0,2023-09-30 20:30:00,1.000674800191765
14,1696106700,27067.00000000,27073.11000000,27060.00000000,27064.15000000,116.39665000,1696107599999,3150577.53658870,5469,51.65056000,1398056.85556730,0,2023-09-30 20:45:00,0.9999292471957043
15,1696107600,27064.15000000,27080.41000000,27064.14000000,27076.60000000,113.58631000,1696108499999,3074994.15220390,5259,60.95043000,1650059.90634470,0,2023-09-30 21:00:00,1.0001948556267564
16,1696108500,27076.60000000,27081.78000000,27065.80000000,27065.80000000,100.28139000,1696109399999,2715130.99819740,5048,39.46422000,1068504.13026380,0,2023-09-30 21:15:00,0.9997527010347586
17,1696109400,27065.80000000,27065.81000000,26963.89000000,26998.74000000,237.52800000,1696110299999,6416623.99845930,8370,55.11010000,1488591.79156290,0,2023-09-30 21:30:00,0.9990815421802309
18,1696110300,26998.73000000,26999.99000000,26946.73000000,26999.28000000,199.31438000,1696111199999,5378113.41842330,7677,116.34959000,3139334.06847770,0,2023-09-30 21:45:00,1.000485340970328
19,1696111200,26999.29000000,27019.20000000,26977.16000000,27016.99000000,178.17615000,1696112099999,4811118.59096300,6813,88.81106000,2398017.69783690,0,2023-09-30 22:00:00,1.0005121622802664
20,1696112100,27017.00000000,27029.28000000,27015.65000000,27029.28000000,90.88489000,1696112999999,2455662.13022140,4657,35.80021000,967276.12014180,0,2023-09-30 22:15:00,1.0002397049676843
21,1696113000,27029.27000000,27029.28000000,27004.49000000,27009.45000000,103.42714000,1696113899999,2794340.29575070,5384,42.29871000,1142724.52415510,0,2023-09-30 22:30:00,0.999679011744802
22,1696113900,27009.44000000,27012.00000000,27000.00000000,27010.29000000,66.41801000,1696114799999,1793679.84455840,4314,25.29338000,683010.55101910,0,2023-09-30 22:45:00,1.00008728916958
23,1696114800,27010.28000000,27011.00000000,26984.84000000,26984.85000000,87.29383000,1696115699999,2356851.00259130,4870,35.69206000,963660.80059620,0,2023-09-30 23:00:00,0.999522460072356
24,1696115700,26984.84000000,26996.50000000,26965.99000000,26965.99000000,81.23784000,1696116599999,2192533.35037050,4522,35.42291000,956072.33741660,0,2023-09-30 23:15:00,0.9995425958537834
25,1696116600,26966.00000000,26988.08000000,26957.15000000,26962.97000000,122.45377000,1696117499999,3302972.18031010,5265,53.94256000,1454936.46395150,0,2023-09-30 23:30:00,0.9997930923242072
26,1696117500,26962.98000000,26974.12000000,26956.16000000,26962.56000000,77.78000000,1696118399999,2097449.34368340,4388,41.96740000,1131645.74891700,0,2023-09-30 23:45:00,0.9999482642661287
27,1696118400,26962.57000000,26986.92000000,26955.30000000,26980.68000000,104.68779000,1696119299999,2823378.16399490,5547,72.46661000,1954441.81165210,0,2023-10-01 00:00:00,1.000345273557227
