,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,timestamp_to_date,mvrv_ratio
3000,1693406700,222.90000000,223.40000000,222.00000000,222.60000000,17547.02700000,1693407599999,3906471.98810000,4419,7875.91200000,1753576.33060000,0,2023-08-30 14:45:00,0.9994387697833651
3001,1693407600,222.70000000,222.90000000,222.00000000,222.90000000,8465.67000000,1693408499999,1882776.39640000,2225,4614.64400000,1026287.98130000,0,2023-08-30 15:00:00,1.0012352610892756
3002,1693408500,222.90000000,223.20000000,222.60000000,222.90000000,3595.40300000,1693409399999,801579.11080000,1521,1793.77500000,399929.54710000,0,2023-08-30 15:15:00,1.0
3003,1693409400,223.00000000,223.50000000,222.90000000,223.50000000,2867.65900000,1693410299999,640115.74930000,1436,1553.51500000,346776.39070000,0,2023-08-30 15:30:00,1.0012319408668384
3004,1693410300,223.50000000,223.50000000,222.80000000,223.10000000,1929.57100000,1693411199999,430431.55360000,1112,863.52900000,192577.37930000,0,2023-08-30 15:45:00,0.9994400268787097
3005,1693411200,223.10000000,223.10000000,222.60000000,222.80000000,2689.17700000,1693412099999,599232.49010000,1222,1236.94400000,275630.60510000,0,2023-08-30 16:00:00,0.9995513683266039
3006,1693412100,222.70000000,222.90000000,221.70000000,222.40000000,8717.84100000,1693412999999,1937391.82220000,2129,3132.04300000,696204.51010000,0,2023-08-30 16:15:00,0.9998876025626615
3007,1693413000,222.40000000,222.50000000,221.80000000,222.20000000,2549.61400000,1693413899999,566433.67100000,1072,1263.57000000,280716.42640000,0,2023-08-30 16:30:00,0.9998875014062324
3008,1693413900,222.10000000,222.50000000,221.80000000,222.40000000,2097.90800000,1693414799999,465933.28150000,1018,952.05800000,211481.46480000,0,2023-08-30 16:45:00,1.0009000900090008
3009,1693414800,222.40000000,222.70000000,222.10000000,222.50000000,2058.42900000,1693415699999,457740.02320000,1131,1020.01900000,226827.19440000,0,2023-08-30 17:00:00,1.0003371923120155
