,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,timestamp_to_date,mvrv_ratio
3000,1693406700,27211.47000000,27272.72000000,27017.24000000,27110.01000000,2121.00100000,1693407599999,57554122.95118490,29074,967.43940000,26248498.30215930,0,2023-08-30 14:45:00,0.9984218973618247
3001,1693407600,27110.00000000,27191.53000000,27036.66000000,27172.30000000,1164.81925000,1693408499999,31590107.99037170,19327,688.31140000,18666564.57467850,0,2023-08-30 15:00:00,1.0016469375449322
3002,1693408500,27172.30000000,27228.10000000,27125.70000000,27185.41000000,729.03992000,1693409399999,19812054.31650840,13895,363.97545000,9890918.29883650,0,2023-08-30 15:15:00,1.0002771555652203
3003,1693409400,27185.41000000,27293.90000000,27185.41000000,27253.92000000,512.27727000,1693410299999,13952886.98858840,12371,285.19320000,7767369.57346350,0,2023-08-30 15:30:00,1.000890940246775
3004,1693410300,27253.93000000,27253.93000000,27188.12000000,27201.63000000,525.65318000,1693411199999,14302388.98709250,9857,218.34514000,5940121.11446570,0,2023-08-30 15:45:00,0.9991635261783984
3005,1693411200,27201.63000000,27210.84000000,27147.68000000,27153.22000000,350.71505000,1693412099999,9532448.90056500,8503,131.38832000,3570606.65279080,0,2023-08-30 16:00:00,0.9990756426739417
3006,1693412100,27153.23000000,27169.57000000,27076.49000000,27167.25000000,547.03247000,1693412999999,14844241.14813530,11349,258.46672000,7013138.73186350,0,2023-08-30 16:15:00,1.0009437530200374
3007,1693413000,27167.26000000,27181.51000000,27067.90000000,27144.25000000,481.46558000,1693413899999,13059880.10653820,10685,228.57181000,6199311.01725400,0,2023-08-30 16:30:00,1.000148119599576
3008,1693413900,27144.26000000,27166.25000000,27101.44000000,27155.37000000,303.21857000,1693414799999,8228007.31877530,8455,149.11125000,4046095.59833740,0,2023-08-30 16:45:00,1.000498860983213
3009,1693414800,27155.37000000,27218.63000000,27117.00000000,27195.01000000,455.52537000,1693415699999,12373260.85190980,8531,226.86696000,6162389.55486650,0,2023-08-30 17:00:00,1.0008651527459698
3010,1693415700,27195.00000000,27240.00000000,27195.00000000,27237.00000000,353.87472000,1693416599999,9632457.62493640,7659,185.56335000,5051004.91298420,0,2023-08-30 17:15:00,1.000744027115655
3011,1693416600,27237.00000000,27249.99000000,27202.11000000,27202.12000000,227.16226000,1693417499999,6184852.58837170,5874,89.13772000,2427148.76671790,0,2023-08-30 17:30:00,0.9992401591239404
3012,1693417500,27202.11000000,27222.56000000,27155.20000000,27167.98000000,229.65654000,1693418399999,6245501.63638090,6359,85.85277000,2334682.83234000,0,2023-08-30 17:45:00,0.9993017792995447
3013,1693418400,27167.97000000,27168.12000000,27100.00000000,27149.42000000,417.95840000,1693419299999,11343403.61531350,8107,183.87528000,4989421.53026060,0,2023-08-30 18:00:00,1.0001120775690975
3014,1693419300,27149.42000000,27175.38000000,27127.35000000,27135.52000000,256.46875000,1693420199999,6964140.76279540,5934,95.20540000,2585080.85214790,0,2023-08-30 18:15:00,0.999580154910774
3015,1693420200,27135.52000000,27212.12000000,27135.52000000,27208.28000000,167.75189000,1693421099999,4559822.34810600,5576,102.36656000,2782238.08592480,0,2023-08-30 18:30:00,1.0013035065134843
2000,1693420200,27135.52000000,27212.12000000,27135.52000000,27208.28000000,167.75189000,1693421099999,4559822.34810600,5576,102.36656000,2782238.08592480,0,2023-08-30 18:30:00,1.0013035065134843
2001,1693421100,27208.29000000,27286.88000000,27207.02000000,27279.98000000,304.35255000,1693421999999,8293793.06717050,7117,194.01641000,5286616.73897380,0,2023-08-30 18:45:00,1.0012639682252609
2002,1693422000,27279.98000000,27286.88000000,27248.72000000,27258.64000000,298.85688000,1693422899999,8149136.19728770,6556,87.91263000,2397121.59941610,0,2023-08-30 19:00:00,0.9996363943743993
2003,1693422900,27258.64000000,27258.64000000,27222.72000000,27236.73000000,162.27140000,1693423799999,4420462.21626810,5273,51.85820000,1412562.70475260,0,2023-08-30 19:15:00,0.9997264553634524
2004,1693423800,27236.72000000,27256.91000000,27236.18000000,27256.87000000,163.38656000,1693424699999,4452070.16372590,4439,58.23206000,1586671.59352380,0,2023-08-30 19:30:00,1.0003743576738002
2005,1693424700,27256.88000000,27269.80000000,27178.26000000,27178.28000000,323.68199000,1693425599999,8817156.77126190,6682,102.75249000,2798923.64045190,0,2023-08-30 19:45:00,0.9984377758115529
2006,1693425600,27178.27000000,27266.08000000,27178.27000000,27254.53000000,312.64743000,1693426499999,8512202.91108970,6345,169.57767000,4616734.99568780,0,2023-08-30 20:00:00,1.0012947620322536
2007,1693426500,27254.54000000,27282.52000000,27242.20000000,27269.65000000,158.83429000,1693427399999,4330225.02591850,5524,72.24573000,1969595.60914700,0,2023-08-30 20:15:00,1.0002722631523782
2008,1693427400,27269.64000000,27291.34000000,27257.18000000,27260.59000000,151.45584000,1693428299999,4130881.73912080,4562,72.00081000,1963731.00358460,0,2023-08-30 20:30:00,0.999666387816142
2009,1693428300,27260.58000000,27279.99000000,27236.99000000,27250.15000000,175.11896000,1693429199999,4773495.31175230,5120,68.46431000,1866111.34094220,0,2023-08-30 20:45:00,0.9997513476161244
2010,1693429200,27250.15000000,27337.78000000,27250.15000000,27298.54000000,323.89305000,1693430099999,8840261.87530560,6110,169.63202000,4629641.63447940,0,2023-08-30 21:00:00,1.0005272290822276
2011,1693430100,27298.54000000,27324.04000000,27255.08000000,27266.92000000,200.51836000,1693430999999,5470060.35484310,5461,89.04871000,2429439.13915660,0,2023-08-30 21:15:00,0.9992954299700451
2012,1693431000,27266.92000000,27285.59000000,27252.03000000,27255.94000000,132.55257000,1693431899999,3614388.30989390,4872,64.64780000,1762727.48386540,0,2023-08-30 21:30:00,0.9996633060848439
2013,1693431900,27255.94000000,27281.68000000,27255.94000000,27259.69000000,91.72946000,1693432799999,2501510.20142620,3618,30.51258000,832038.01050500,0,2023-08-30 21:45:00,0.999867129131869
2014,1693432800,27259.69000000,27326.87000000,27259.69000000,27282.29000000,258.59903000,1693433699999,7058103.86451420,5201,123.15866000,3360954.68672010,0,2023-08-30 22:00:00,1.0000056813735434
2015,1693433700,27282.30000000,27290.00000000,27257.24000000,27257.25000000,157.60948000,1693434599999,4298070.14379770,3859,47.17730000,1286511.05472640,0,2023-08-30 22:15:00,0.9994702383304156
2016,1693434600,27257.24000000,27276.12000000,27245.49000000,27246.99000000,262.11857000,1693435499999,7145576.64370240,3837,70.21054000,1913961.09027370,0,2023-08-30 22:30:00,0.9996525594299479
2017,1693435500,27246.99000000,27266.00000000,27241.00000000,27241.00000000,107.09888000,1693436399999,2919017.20673830,3593,52.12114000,1420556.25916930,0,2023-08-30 22:45:00,0.9997156750048786
2018,1693436400,27241.00000000,27279.63000000,27228.00000000,27272.72000000,160.44343000,1693437299999,4373378.25260290,4642,56.59392000,1542633.30316860,0,2023-08-30 23:00:00,1.0006377649882339
2019,1693437300,27272.72000000,27317.24000000,27270.08000000,27305.40000000,160.53072000,1693438199999,4381594.26094080,3809,104.43458000,2850449.47552540,0,2023-08-30 23:15:00,1.0005144485287651
2020,1693438200,27305.39000000,27309.43000000,27292.61000000,27308.15000000,74.07766000,1693439099999,2022303.77362840,2718,35.60691000,972047.11969040,0,2023-08-30 23:30:00,1.0001558385717495
2021,1693439100,27308.15000000,27319.88000000,27288.95000000,27299.99000000,99.77726000,1693439999999,2724389.76730030,3640,41.99396000,1146560.22466330,0,2023-08-30 23:45:00,0.9998442549724645
2022,1693440000,27299.99000000,27303.36000000,27264.53000000,27267.79000000,129.92606000,1693440899999,3544939.96570680,4551,52.14666000,1422922.90224030,0,2023-08-31 00:00:00,0.9994089008662338
2023,1693440900,27267.78000000,27267.79000000,27246.23000000,27246.23000000,100.97870000,1693441799999,2752208.65221140,3684,41.69281000,1136360.24829470,0,2023-08-31 00:15:00,0.9996045970930595
