Tipo de Operação,Preço de Compra,Saldo,Ativo em Carteira,Lucro,Valor Previsto,Valor Real,Diferença
Compra (0),213.7,0.0,4.679457182966776,,,,
Venda por percentual de diferença (1),,1000.4679457182968,,0.4679457182968463,214.5313767636733,213.8,0.7313767636732962
Compra (2),214.0,0.0,4.6750838584967145,,,,
(no final do período 3),,0.0,,x,214.5313767636733,213.6,0.9313767636733132
(no final do período 4),,0.0,,x,214.5313767636733,213.5,1.0313767636733076
(no final do período 0),,0.0,,x,213.89560234359058,213.4,0.4956023435905763
(no final do período 1),,0.0,,x,213.89560234359058,213.4,0.4956023435905763
(no final do período 2),,0.0,,x,213.89560234359058,213.8,0.09560234359057063
(no final do período 3),,0.0,,x,213.89560234359058,213.7,0.19560234359059336
(no final do período 4),,0.0,,x,213.89560234359058,213.8,0.09560234359057063
(no final do período 0),,0.0,,x,214.3763843069878,214.0,0.3763843069878021
(no final do período 1),,0.0,,x,214.3763843069878,213.7,0.6763843069878135
(no final do período 2),,0.0,,x,214.3763843069878,213.8,0.5763843069877908
(no final do período 3),,0.0,,x,214.3763843069878,213.5,0.8763843069878021
Venda por prejuizo (4),,997.1953870173493,,-2.804612982650724,214.3763843069878,213.3,1.0763843069877908
Compra (0),213.4,0.0,4.67289309755084,,,,
(no final do período 1),,0.0,,x,213.74121791494503,213.2,0.5412179149450367
Venda por percentual de diferença (2),,997.6626763271042,,-2.3373236728957636,213.74121791494503,213.5,0.2412179149450253
Compra (3),213.3,0.0,4.6772746194425885,,,,
(no final do período 4),,0.0,,x,213.74121791494503,213.1,0.641217914945031
(no final do período 0),,0.0,,x,213.407813725924,212.9,0.5078137259239952
(no final do período 1),,0.0,,x,213.407813725924,213.3,0.10781372592398952
Venda (2),,998.5981312509927,,-1.401868749007349,213.407813725924,213.5,-0.09218627407599911
Compra (3),213.3,0.0,4.681660249653036,,,,
Venda (4),,1000.0026293258885,,0.002629325888506173,213.407813725924,213.6,-0.19218627407599342
Compra (0),213.3,0.0,4.688244863224981,,,,
Venda por percentual de diferença (1),,1000.9402782985335,,0.9402782985334852,213.7398735370413,213.5,0.23987353704129077
Compra (2),213.3,0.0,4.6926407796461955,,,,
Venda por percentual de diferença (3),,1001.4095423764982,,1.409542376498166,213.7398735370413,213.4,0.3398735370412851
Compra (4),213.3,0.0,4.694840798764642,,,,
(no final do período 0),,0.0,,x,213.53634820032522,213.1,0.43634820032522725
(no final do período 1),,0.0,,x,213.53634820032522,213.1,0.43634820032522725
Venda por percentual de diferença (2),,1002.3485105362511,,2.3485105362510694,213.53634820032522,213.5,0.03634820032522157
Compra (3),213.7,0.0,4.690446937464909,,,,
(no final do período 4),,0.0,,x,213.53634820032522,213.4,0.13634820032521588
(no final do período 0),,0.0,,x,213.95488299977944,213.6,0.3548829997794485
(no final do período 1),,0.0,,x,213.95488299977944,213.5,0.4548829997794428
Venda por prejuizo (2),,999.0651976800256,,-0.9348023199744375,213.95488299977944,213.0,0.9548829997794428
Compra (3),212.4,0.0,4.703696787570742,,,,
Venda por prejuizo (4),,993.8911312136978,,-6.108868786302196,213.95488299977944,211.3,2.6548829997794314
Compra (0),211.8,0.0,4.692592687505655,,,,
Venda por percentual de diferença (1),,996.7066868262012,,-3.293313173798765,212.42367905900198,212.4,0.023679059001977976
Compra (2),212.2,0.0,4.697015489284643,,,,
(no final do período 3),,0.0,,x,212.42367905900198,212.0,0.42367905900198366
(no final do período 4),,0.0,,x,212.42367905900198,211.7,0.723679059001995
Venda por percentual de diferença (0),,997.1763883751298,,-2.823611624870182,212.78230981270832,212.3,0.4823098127083085
