Tipo de Operação,Preço de Compra,Saldo,Ativo em Carteira,Lucro,Valor Previsto,Valor Real,Diferença
Compra (0),27350.59,0.0,0.03656228256867585,,,,
Venda por percentual de diferença (1),,1000.5513592211356,,0.5513592211356126,27459.947246609267,27365.67,94.27724660926833
Compra (2),27401.02,0.0,0.036515113642526284,,,,
(no final do período 3),,0.0,,x,27459.947246609267,27325.62,134.3272466092676
(no final do período 4),,0.0,,x,27459.947246609267,27345.0,114.94724660926659
(no final do período 0),,0.0,,x,27444.1559495754,27360.87,83.2859495754019
Venda por percentual de diferença (1),,1000.6842742347943,,0.6842742347943158,27444.1559495754,27404.66,39.49594957540103
Compra (2),27415.65,0.0,0.036500475977581937,,,,
(no final do período 3),,0.0,,x,27444.1559495754,27385.44,58.71594957540219
(no final do período 4),,0.0,,x,27444.1559495754,27409.4,34.75594957539943
Venda por percentual de diferença (0),,1002.3782613249139,,2.378261324913865,27530.26568504142,27462.06,68.2056850414192
Compra (1),27438.61,0.0,0.03653167056658169,,,,
(no final do período 2),,0.0,,x,27530.26568504142,27435.4,94.86568504141906
(no final do período 3),,0.0,,x,27530.26568504142,27400.66,129.60568504142066
(no final do período 4),,0.0,,x,27530.26568504142,27388.89,141.3756850414211
(no final do período 0),,0.0,,x,27414.42796617593,27361.78,52.64796617592947
Venda por prejuizo (1),,997.332141669552,,-2.6678583304479844,27414.42796617593,27300.48,113.94796617592874
Compra (2),27381.81,0.0,0.036423163467628764,,,,
(no final do período 3),,0.0,,x,27414.42796617593,27365.01,49.417966175929905
(no final do período 4),,0.0,,x,27414.42796617593,27314.43,99.99796617592801
Venda por prejuizo (0),,993.4417835795746,,-6.558216420425424,27354.882090282554,27275.0,79.88209028255369
Compra (1),27342.92,0.0,0.03633268808084779,,,,
Venda (2),,994.4769018629979,,-5.52309813700208,27354.882090282554,27371.41,-16.527909717446164
Compra (3),27348.95,0.0,0.03636252586892725,,,,
Venda (4),,996.1241242848603,,-3.8758757151397276,27354.882090282554,27394.25,-39.36790971744631
Compra (0),27372.34,0.0,0.036391632000949144,,,,
Venda por percentual de diferença (1),,997.6922397077811,,-2.307760292218859,27420.13531378661,27415.43,4.705313786609622
Compra (2),27379.09,0.0,0.036439934260334476,,,,
Venda por percentual de diferença (3),,998.4563851292203,,-1.5436148707797201,27420.13531378661,27400.06,20.075313786608604
Compra (4),27362.25,0.0,0.03649028808410201,,,,
(no final do período 0),,0.0,,x,27387.29722931164,27320.23,67.0672293116404
(no final do período 1),,0.0,,x,27387.29722931164,27327.56,59.73722931163866
Venda (2),,999.9875176172292,,-0.012482382770826916,27387.29722931164,27404.21,-16.91277068835916
Compra (3),27408.95,0.0,0.03648397759188984,,,,
Venda (4),,1001.2480390430289,,1.248039043028939,27387.29722931164,27443.5,-56.20277068836003
Compra (0),27463.4,0.0,0.03645754127467935,,,,
(no final do período 1),,0.0,,x,27507.519285503942,27426.46,81.0592855039431
Venda por prejuizo (2),,997.4783292752271,,-2.521670724772889,27507.519285503942,27360.0,147.51928550394223
Compra (3),27363.52,0.0,0.036452851434143965,,,,
Venda por prejuizo (4),,993.7780003261471,,-6.221999673852906,27507.519285503942,27262.01,245.50928550394383
Compra (0),27310.43,0.0,0.03638822238705678,,,,
Venda por percentual de diferença (1),,995.0297551762619,,-4.970244823738085,27404.998822041092,27344.83,60.16882204109061
Compra (2),27353.97,0.0,0.03637606370030609,,,,
(no final do período 3),,0.0,,x,27404.998822041092,27310.0,94.99882204109235
(no final do período 4),,0.0,,x,27404.998822041092,27336.8,68.19882204109308
Venda por percentual de diferença (0),,998.6458996687093,,-1.3541003312907378,27543.962152778327,27453.38,90.58215277832642
Compra (1),27443.28,0.0,0.03638945124885616,,,,
(no final do período 2),,0.0,,x,27543.962152778327,27387.1,156.8621527783289
(no final do período 3),,0.0,,x,27543.962152778327,27412.14,131.82215277832802
(no final do período 4),,0.0,,x,27543.962152778327,27437.53,106.4321527783286
(no final do período 0),,0.0,,x,27477.94113697609,27430.0,47.94113697608918
(no final do período 1),,0.0,,x,27477.94113697609,27408.9,69.04113697608773
(no final do período 2),,0.0,,x,27477.94113697609,27430.43,47.51113697608889
(no final do período 3),,0.0,,x,27477.94113697609,27415.45,62.491136976088455
(no final do período 4),,0.0,,x,27477.94113697609,27418.22,59.72113697608802
(no final do período 0),,0.0,,x,27438.351179176476,27390.79,47.56117917647498
(no final do período 1),,0.0,,x,27438.351179176476,27388.69,49.66117917647716
(no final do período 2),,0.0,,x,27438.351179176476,27379.01,59.34117917647745
(no final do período 3),,0.0,,x,27438.351179176476,27385.34,53.01117917647571
(no final do período 4),,0.0,,x,27438.351179176476,27405.33,33.02117917647411
(no final do período 0),,0.0,,x,27433.97517885593,27407.18,26.795178855929407
(no final do período 1),,0.0,,x,27433.97517885593,27396.52,37.45517885592926
Venda por prejuizo (2),,995.5302348527822,,-4.4697651472177995,27433.97517885593,27357.66,76.31517885592984
Compra (3),27387.58,0.0,0.036349697010571294,,,,
Venda por percentual de diferença (4),,996.7083285328948,,-3.291671467105175,27433.97517885593,27419.99,13.985178855928098
Compra (0),27435.01,0.0,0.03632979643648371,,,,
