Tipo de Operação,Preço de Compra,Saldo,Ativo em Carteira,Lucro,Valor Previsto,Valor Real,Diferença
Compra (0),"26928,5",0,"0,0371353770169152",,,,
(no final do período 1),,0,,x,"26999,26419464","26928,06","71,20419464"
(no final do período 2),,0,,x,"26999,26419464","26918,49","80,77419464"
Venda por percentual de diferença (3),,"1000,11511966875",,"0,1151196687523","26999,26419464","26931,6","67,66419464"
Compra (4),"26935,98",0,"0,0371293385155748",,,,
Venda por percentual de diferença (0),,"1001,50412822262",,"1,50412822262001","27043,52010344","26973,39","70,13010344"
Compra (1),"26994,13",0,"0,0371008114809635",,,,
(no final do período 2),,0,,x,"27043,52010344","26978,66","64,86010344"
(no final do período 3),,0,,x,"27043,52010344","26994,12","49,40010344"
(no final do período 4),,0,,x,"27043,52010344","26992,38","51,14010344"
Venda por percentual de diferença (0),,"1002,52885263572",,"2,52885263572421","27090,16019637","27021,75","68,41019637"
Compra (1),"27016,41",0,"0,03710814474002",,,,
Venda por percentual de diferença (2),,"1003,40831566606",,"3,40831566606278","27090,16019637","27040,11","50,05019637"
Compra (3),"26996,29",0,"0,0371683781610756",,,,
Venda por percentual de diferença (4),,"1003,89930994157",,"3,89930994157044","27090,16019637","27009,5","80,66019637"
Compra (0),"26989,45",0,"0,0371959899124128",,,,
Venda por percentual de diferença (1),,"1005,29192780389",,"5,29192780389121","27058,52395093","27026,89","31,63395093"
Compra (2),"27020,92",0,"0,0372042079915818",,,,
(no final do período 3),,0,,x,"27058,52395093","26986,47","72,05395093"
(no final do período 4),,0,,x,"27058,52395093","27013,26","45,26395093"
Venda por percentual de diferença (0),,"1005,56649485887",,"5,56649485886919","27085,61502051","27028,3","57,31502051"
Compra (1),"27017,55",0,"0,03721901115604",,,,
(no final do período 2),,0,,x,"27085,61502051",27014,"71,61502051"
(no final do período 3),,0,,x,"27085,61502051","27008,69","76,92502051"
(no final do período 4),,0,,x,"27085,61502051","26995,6","90,01502051"
(no final do período 0),,0,,x,"27053,94652769","26999,98","53,96652769"
(no final do período 1),,0,,x,"27053,94652769","26994,01","59,93652769"
(no final do período 2),,0,,x,"27053,94652769",26999,"54,94652769"
Venda por percentual de diferença (3),,"1006,1984736683",,"6,19847366829868","27053,94652769","27034,53","19,41652769"
Compra (4),"27020,7",0,"0,0372380609557968",,,,
Venda por percentual de diferença (0),,"1006,87620637769",,"6,87620637769408","27101,34817935","27038,9","62,44817935"
Compra (1),"27029,71",0,"0,0372507217568259",,,,
Venda por percentual de diferença (2),,"1008,26528579201",,"8,26528579200613","27101,34817935",27067,"34,34817935"
Compra (3),"27064,15",0,"0,0372546444574098",,,,
Venda por percentual de diferença (4),,"1008,7291061155",,"8,72910611550083","27101,34817935","27076,6","24,74817935"
Compra (0),"27065,8",0,"0,0372695100871026",,,,
(no final do período 1),,0,,x,"27127,66051064","26998,74","128,92051064"
(no final do período 2),,0,,x,"27127,66051064","26999,28","128,38051064"
(no final do período 3),,0,,x,"27127,66051064","27016,99","110,67051064"
(no final do período 4),,0,,x,"27127,66051064","27029,28","98,38051064"
(no final do período 0),,0,,x,"27076,11977746","27009,45","66,66977746"
(no final do período 1),,0,,x,"27076,11977746","27010,29","65,82977746"
(no final do período 2),,0,,x,"27076,11977746","26984,85","91,26977746"
Venda por prejuizo (3),,"1005,00923631371",,"5,00923631370722","27076,11977746","26965,99","110,12977746"
Compra (4),"26962,97",0,"0,0372736844759204",,,,
(no final do período 0),,0,,x,"27023,03667139","26962,56","60,47667139"
Venda por percentual de diferença (1),,"1005,66935326578",,"5,66935326577573","27023,03667139","26980,68","42,35667139"
Compra (2),"26974,63",0,"0,0372820443974867",,,,
Venda por percentual de diferença (3),,"1006,25319008104",,"6,25319008104032","27023,03667139","26990,29","32,74667139"
Compra (4),"26991,07",0,"0,0372809670043107",,,,
Venda por percentual de diferença (0),,"1006,28935261903",,"6,2893526190345","27050,34764092","26992,04","58,30764092"
Compra (1),"27020,19",0,"0,037242127187819",,,,
(no final do período 2),,0,,x,"27050,34764092","27013,48","36,86764092"
(no final do período 3),,0,,x,"27050,34764092","27019,83","30,51764092"
Venda por percentual de diferença (4),,"1006,6129867043",,"6,61298670429676","27050,34764092","27028,88","21,46764092"
Compra (0),"27039,52",0,"0,0372274724811793",,,,
(no final do período 1),,0,,x,"27098,37960824","27022,17","76,20960824"
(no final do período 2),,0,,x,"27098,37960824","27025,89","72,48960824"
(no final do período 3),,0,,x,"27098,37960824","27013,91","84,46960824"
Venda por percentual de diferença (4),,"1006,68222980311",,"6,6822298031118","27098,37960824","27041,38","56,99960824"
Compra (0),"27032,32",0,"0,0372399494310186",,,,
Venda por percentual de diferença (1),,"1007,14549477403",,"7,14549477403375","27093,6755636","27044,76","48,9155636"
Compra (2),"27026,45",0,"0,0372651789182092",,,,
Venda por percentual de diferença (3),,"1007,37802949048",,"7,3780294904833","27093,6755636","27032,69","60,9855636"
Compra (4),"27030,72",0,"0,0372678948060016",,,,
Venda por percentual de diferença (0),,"1007,92773093887",,"7,92773093887183","27100,8073656","27045,47","55,3373656"
Compra (1),"27045,43",0,"0,0372679499249549",,,,
Venda por percentual de diferença (2),,"1008,83446016055",,"8,83446016054597","27100,8073656","27069,76","31,0473656"
Compra (3),"27072,44",0,"0,037264260634082",,,,
(no final do período 4),,0,,x,"27100,8073656","27071,72","29,0873656"
Venda por percentual de diferença (0),,"1009,74817983129",,"9,74817983129367","27156,98048261","27096,96","60,02048261"
Compra (1),"27089,33",0,"0,0372747565122982",,,,
Venda por percentual de diferença (2),,"1010,28120884942",,"10,2812088494195","27156,98048261","27103,63","53,35048261"
Compra (3),"27128,85",0,"0,037240104495746",,,,
Venda por percentual de diferença (4),,"1011,0248937362",,"11,0248937361996","27156,98048261","27148,82","8,16048261"
Compra (0),"27107,95",0,"0,0372962504998054",,,,
Venda por percentual de diferença (1),,"1011,16065208802",,"11,160652088019","27199,23981488","27111,59","87,64981488"
Compra (2),"27107,95",0,"0,0373012585639275",,,,
(no final do período 3),,0,,x,"27199,23981488","27100,81","98,42981488"
Venda por percentual de diferença (4),,"1011,45160190482",,"11,4516019048176","27199,23981488","27115,75","83,48981488"
Compra (0),"27140,51",0,"0,0372672290205607",,,,
(no final do período 1),,0,,x,"27197,15981386","27135,47","61,68981386"
Venda por percentual de diferença (2),,"1012,16564201285",,"12,1656420128516","27197,15981386","27159,67","37,48981386"
Compra (3),27210,0,"0,0371982962886017",,,,
(no final do período 4),,0,,x,"27197,15981386","27188,09","9,06981386"
Venda por percentual de diferença (0),,"1012,45467277501",,"12,454672775014","27289,14672626","27217,77","71,37672626"
Compra (1),"27256,95",0,"0,0371448262837557",,,,
(no final do período 2),,0,,x,"27289,14672626","27220,22","68,92672626"
Venda por prejuizo (3),,"1009,2743327486",,"9,2743327485988","27289,14672626","27171,33","117,81672626"
Compra (4),"27210,01",0,"0,037092023587959",,,,
(no final do período 0),,0,,x,"27259,72726019","27184,53","75,19726019"
(no final do período 1),,0,,x,"27259,72726019","27204,04","55,68726019"
Venda por percentual de diferença (2),,"1009,67937764618",,"9,67937764617932","27259,72726019","27220,93","38,79726019"
Compra (3),"27187,71",0,"0,0371373454272603",,,,
(no final do período 4),,0,,x,"27259,72726019","27151,75","107,97726019"
(no final do período 0),,0,,x,"27236,05920516","27170,01","66,04920516"
Venda por percentual de diferença (1),,"1009,74288250686",,"9,74288250685981","27236,05920516","27189,42","46,63920516"
Compra (2),"27193,98",0,"0,0371311180822689",,,,
(no final do período 3),,0,,x,"27236,05920516","27151,13","84,92920516"
(no final do período 4),,0,,x,"27236,05920516","27168,8","67,25920516"
(no final do período 0),,0,,x,"27233,62154233","27171,38","62,24154233"
(no final do período 1),,0,,x,"27233,62154233","27192,04","41,58154233"
Venda por percentual de diferença (2),,"1010,05292734285",,"10,0529273428469","27233,62154233","27202,33","31,29154233"
Compra (3),"27219,47",0,"0,0371077367539797",,,,
Venda por prejuizo (4),,"1006,08239951017",,"6,08239951017106","27233,62154233","27112,47","121,15154233"
Compra (0),"27119,79",0,"0,03709772087137",,,,
Venda por percentual de diferença (1),,"1006,53573365922",,"6,53573365921909","27198,44129548","27132,01","66,43129548"
Compra (2),"27132,88",0,"0,0370965313545491",,,,
Venda por percentual de diferença (3),,"1006,54018524298",,"6,54018524298169","27198,44129548",27133,"65,44129548"
Compra (4),"27153,18",0,"0,0370689615449454",,,,
Venda por percentual de diferença (0),,"1006,60728006338",,"6,60728006337808","27207,66273777","27154,99","52,67273777"
Compra (1),"27122,36",0,"0,0371135579670566",,,,
