Tipo de Operação,Preço de Compra,Saldo,Ativo em Carteira,Lucro,Valor Previsto,Valor Real,Diferença
Compra (0),16.02,0.0,62.421972534332085,,,,
(no final do período 1),,0.0,,x,[16.0547559],16.02,[0.0347559]
(no final do período 2),,0.0,,x,[16.0547559],15.99,[0.0647559]
Venda por percentual de diferença (3),,1001.2484394506865,,1.2484394506865328,[16.0547559],16.04,[0.0147559]
Compra (4),16.01,0.0,62.538940627775546,,,,
Venda por percentual de diferença (0),,1004.3753864820752,,4.375386482075214,[16.09186224],16.06,[0.03186224]
Compra (1),16.06,0.0,62.538940627775546,,,,
(no final do período 2),,0.0,,x,[16.09186224],16.03,[0.06186224]
(no final do período 3),,0.0,,x,[16.09186224],16.03,[0.06186224]
(no final do período 4),,0.0,,x,[16.09186224],16.03,[0.06186224]
Venda por percentual de diferença (0),,1005.000775888353,,5.000775888353019,[16.10631599],16.07,[0.03631599]
Compra (1),16.03,0.0,62.69499537669076,,,,
(no final do período 2),,0.0,,x,[16.10631599],16.03,[0.07631599]
Venda por percentual de diferença (3),,1008.7624756109543,,8.762475610954311,[16.10631599],16.09,[0.01631599]
Compra (4),16.59,0.0,60.80545362332455,,,,
Venda por percentual de diferença (0),,1014.8430209732869,,14.843020973286912,[17.03089647],16.69,[0.34089647]
Compra (1),16.8,0.0,60.40732267698136,,,,
Venda por prejuizo (2),,1007.5941422520491,,7.594142252049096,[17.03089647],16.68,[0.35089647]
Compra (3),16.52,0.0,60.992381492254786,,,,
Venda por percentual de diferença (4),,1012.4735327714295,,12.473532771429518,[17.03089647],16.6,[0.43089647]
Compra (0),16.46,0.0,61.51115022912694,,,,
(no final do período 1),,0.0,,x,[16.68715914],16.43,[0.25715914]
(no final do período 2),,0.0,,x,[16.68715914],16.44,[0.24715914]
(no final do período 3),,0.0,,x,[16.68715914],16.43,[0.25715914]
Venda por prejuizo (4),,1007.5526407530992,,7.55264075309924,[16.68715914],16.38,[0.30715914]
Compra (0),16.42,0.0,61.36130577059069,,,,
(no final do período 1),,0.0,,x,[16.4738372],16.4,[0.0738372]
(no final do período 2),,0.0,,x,[16.4738372],16.4,[0.0738372]
Venda por percentual de diferença (3),,1010.0070929839228,,10.007092983922803,[16.4738372],16.46,[0.0138372]
Compra (4),16.45,0.0,61.39860747622631,,,,
Venda por percentual de diferença (0),,1010.6210790586852,,10.621079058685154,[16.53343225],16.46,[0.07343225]
Compra (1),16.47,0.0,61.36132841886371,,,,
Venda por percentual de diferença (2),,1011.8483056270625,,11.848305627062473,[16.53343225],16.49,[0.04343225]
Compra (3),16.52,0.0,61.24989743505221,,,,
Venda (4),,1013.6858025501142,,13.685802550114204,[16.53343225],16.55,[-0.01656775]
Compra (0),16.53,0.0,61.324004993957296,,,,
Venda por prejuizo (1),,1008.166642100658,,8.16664210065801,[16.57512248],16.44,[0.13512248]
Compra (2),16.41,0.0,61.43611469230091,,,,
Venda por percentual de diferença (3),,1012.467170129119,,12.46717012911904,[16.57512248],16.48,[0.09512248]
Compra (4),16.51,0.0,61.324480322781284,,,,
Venda por prejuizo (0),,1008.1744565065244,,8.174456506524393,[16.51360806],16.44,[0.07360806]
Compra (1),16.49,0.0,61.13853587062004,,,,
Venda por prejuizo (2),,1005.1175297129935,,5.117529712993473,[16.51360806],16.44,[0.07360806]
Compra (3),16.41,0.0,61.250306502924644,,,,
Venda por prejuizo (4),,1000.8300082577887,,0.8300082577886769,[16.51360806],16.34,[0.17360806]
Compra (0),16.35,0.0,61.21284454176077,,,,
(no final do período 1),,0.0,,x,[16.38941285],16.33,[0.05941285]
Venda por prejuizo (2),,997.7693660307006,,-2.230633969299447,[16.38941285],16.3,[0.08941285]
Compra (3),16.35,0.0,61.02564929851379,,,,
Venda por percentual de diferença (4),,998.9898790166708,,-1.010120983329216,[16.38941285],16.37,[0.01941285]
Compra (0),16.35,0.0,61.10029841080555,,,,
Venda por percentual de diferença (1),,1000.8228879689949,,0.8228879689949053,[16.3997059],16.38,[0.0197059]
Compra (2),16.38,0.0,61.10029841080555,,,,
(no final do período 3),,0.0,,x,[16.3997059],16.38,[0.0197059]
(no final do período 4),,0.0,,x,[16.3997059],16.37,[0.0297059]
(no final do período 0),,0.0,,x,[16.41397733],16.38,[0.03397733]
Venda por prejuizo (1),,996.5458670802384,,-3.454132919761605,[16.41397733],16.31,[0.10397733]
Compra (2),16.33,0.0,61.025466447044614,,,,
(no final do período 3),,0.0,,x,[16.41397733],16.3,[0.11397733]
Venda por percentual de diferença (4),,997.156121744709,,-2.8438782552909743,[16.41397733],16.34,[0.07397733]
Compra (0),16.35,0.0,60.98814200273449,,,,
(no final do período 1),,0.0,,x,[16.37829432],16.34,[0.03829432]
