Tipo de Operação,Preço de Compra,Saldo,Ativo em Carteira,Lucro,Valor Previsto,Valor Real,Diferença
Compra (4),212.1,0.0,0.47147571900047147,,,,
Venda (no final do período 0),,99.95285242809996,,-0.04714757190004093,[212.41738622],212.0,[0.41738622]
Compra (2),212.8,0.0,0.4697032538914471,,,,
Venda (3),,99.81194145193251,,-0.18805854806748812,[212.41738622],212.5,[-0.08261378]
Compra (4),212.7,0.0,0.46926159591881766,,,,
Venda (no final do período 0),,99.62423681356499,,-0.37576318643500883,[213.00536554],212.3,[0.70536554]
Compra (3),212.7,0.0,0.4683791105480254,,,,
Venda (4),,99.67107472461981,,-0.3289252753801861,[212.52898464],212.8,[-0.27101536]
Compra (3),213.7,0.0,0.4664065265541405,,,,
Venda (4),,99.67107472461981,,-0.3289252753801861,[213.44244649],213.7,[-0.25755351]
Compra (4),215.2,0.0,0.46315555169433004,,,,
Venda (no final do período 0),,99.57844361428096,,-0.4215563857190432,[215.94598719],215.0,[0.94598719]
