Tipo de Operação,Preço de Compra,Saldo,Ativo em Carteira,Lucro,Valor Previsto,Valor Real,Diferença
Compra (0),215.5,0.0,4.640371229698376,,,,
Venda por percentual de diferença (1),,1000.4640371229698,,0.46403712296978483,215.96384577579073,215.6,0.36384577579073607
Compra (2),215.7,0.0,4.63821992175693,,,,
Venda por percentual de diferença (3),,1000.9278591151455,,0.927859115145452,215.96384577579073,215.8,0.16384577579071902
Compra (4),215.7,0.0,4.640370232337253,,,,
(no final do período 0),,0.0,,x,216.0404385632203,215.7,0.3404385632203173
(no final do período 1),,0.0,,x,216.0404385632203,215.7,0.3404385632203173
(no final do período 2),,0.0,,x,216.0404385632203,215.7,0.3404385632203173
(no final do período 3),,0.0,,x,216.0404385632203,215.5,0.5404385632203059
(no final do período 4),,0.0,,x,216.0404385632203,215.7,0.3404385632203173
(no final do período 0),,0.0,,x,215.99417656590845,215.7,0.2941765659084581
(no final do período 1),,0.0,,x,215.99417656590845,215.1,0.8941765659084524
(no final do período 2),,0.0,,x,215.99417656590845,215.2,0.7941765659084581
(no final do período 3),,0.0,,x,215.99417656590845,215.4,0.594176565908441
(no final do período 4),,0.0,,x,215.99417656590845,215.5,0.4941765659084467
Venda por prejuizo (0),,997.6795999525094,,-2.3204000474905797,215.58301791520452,215.0,0.5830179152045218
Compra (1),215.1,0.0,4.638212924000509,,,,
(no final do período 2),,0.0,,x,215.58301791520452,214.8,0.7830179152045105
(no final do período 3),,0.0,,x,215.58301791520452,214.8,0.7830179152045105
(no final do período 4),,0.0,,x,215.58301791520452,214.7,0.8830179152045332
(no final do período 0),,0.0,,x,214.9117769659579,214.6,0.31177696595790394
(no final do período 1),,0.0,,x,214.9117769659579,214.5,0.41177696595789826
(no final do período 2),,0.0,,x,214.9117769659579,214.6,0.31177696595790394
(no final do período 3),,0.0,,x,214.9117769659579,214.8,0.11177696595788689
(no final do período 4),,0.0,,x,214.9117769659579,214.9,0.011776965957892571
(no final do período 0),,0.0,,x,215.1178945149856,214.7,0.417894514985619
(no final do período 1),,0.0,,x,215.1178945149856,215.0,0.11789451498560766
(no final do período 2),,0.0,,x,215.1178945149856,215.0,0.11789451498560766
(no final do período 3),,0.0,,x,215.1178945149856,214.8,0.3178945149855963
(no final do período 4),,0.0,,x,215.1178945149856,215.0,0.11789451498560766
(no final do período 0),,0.0,,x,215.48498508958244,215.1,0.38498508958244315
(no final do período 1),,0.0,,x,215.48498508958244,214.7,0.7849850895824488
(no final do período 2),,0.0,,x,215.48498508958244,215.0,0.48498508958243747
(no final do período 3),,0.0,,x,215.48498508958244,214.8,0.6849850895824261
(no final do período 4),,0.0,,x,215.48498508958244,215.0,0.48498508958243747
(no final do período 0),,0.0,,x,215.47135320238226,215.1,0.37135320238226655
Venda por percentual de diferença (1),,998.6072425373097,,-1.3927574626902697,215.47135320238226,215.3,0.1713532023822495
Compra (2),215.0,0.0,4.644684849010743,,,,
Venda por percentual de diferença (3),,999.5361795071119,,-0.4638204928880896,215.47135320238226,215.2,0.27135320238227223
Compra (4),215.1,0.0,4.64684416321298,,,,
Venda por percentual de diferença (0),,1000.0008639234331,,0.0008639234331440093,215.52916604594202,215.2,0.32916604594203136
Compra (1),214.9,0.0,4.65333114901551,,,,
(no final do período 2),,0.0,,x,215.52916604594202,214.9,0.6291660459420143
(no final do período 3),,0.0,,x,215.52916604594202,214.8,0.7291660459420086
(no final do período 4),,0.0,,x,215.52916604594202,214.9,0.6291660459420143
Venda por percentual de diferença (0),,1000.4661970383346,,0.4661970383345988,215.26606542012337,215.0,0.2660654201233683
Compra (1),215.0,0.0,4.65333114901551,,,,
(no final do período 2),,0.0,,x,215.26606542012337,214.9,0.36606542012336263
Venda por percentual de diferença (3),,1000.9315301532362,,0.9315301532361673,215.26606542012337,215.1,0.166065420123374
Compra (4),215.1,0.0,4.65333114901551,,,,
(no final do período 0),,0.0,,x,215.38673132955918,215.0,0.38673132955918277
(no final do período 1),,0.0,,x,215.38673132955918,215.0,0.38673132955918277
(no final do período 2),,0.0,,x,215.38673132955918,214.9,0.4867313295591771
(no final do período 3),,0.0,,x,215.38673132955918,214.6,0.7867313295591885
(no final do período 4),,0.0,,x,215.38673132955918,215.0,0.38673132955918277
(no final do período 0),,0.0,,x,215.34626508007656,215.0,0.346265080076563
(no final do período 1),,0.0,,x,215.34626508007656,215.0,0.346265080076563
Venda por percentual de diferença (2),,1001.3968632681376,,1.396863268137622,215.34626508007656,215.2,0.14626508007657435
Compra (3),215.6,0.0,4.644697881577633,,,,
(no final do período 4),,0.0,,x,215.34626508007656,215.6,-0.25373491992343133
(no final do período 0),,0.0,,x,215.96634613927776,215.6,0.36634613927776627
Venda (1),,1004.1836819970842,,4.18368199708425,215.96634613927776,216.2,-0.23365386072222805
Compra (2),215.9,0.0,4.651151838800761,,,,
(no final do período 3),,0.0,,x,215.96634613927776,215.7,0.26634613927777195
Venda (4),,1005.1139123648444,,5.113912364844396,215.96634613927776,216.1,-0.13365386072223373
Compra (0),215.9,0.0,4.655460455603726,,,,
Venda por percentual de diferença (1),,1006.0450044559651,,6.045004455965113,216.32028402633972,216.1,0.22028402633972632
Compra (2),216.3,0.0,4.651155822727532,,,,
(no final do período 3),,0.0,,x,216.32028402633972,216.1,0.22028402633972632
(no final do período 4),,0.0,,x,216.32028402633972,215.7,0.620284026339732
(no final do período 0),,0.0,,x,216.18937152751715,215.8,0.38937152751714166
(no final do período 1),,0.0,,x,216.18937152751715,215.9,0.28937152751714734
(no final do período 2),,0.0,,x,216.18937152751715,215.9,0.28937152751714734
(no final do período 3),,0.0,,x,216.18937152751715,215.7,0.4893715275171644
Venda por prejuizo (4),,1001.8589642155104,,1.8589642155103547,216.18937152751715,215.4,0.7893715275171473
Compra (0),215.4,0.0,4.651155822727532,,,,
(no final do período 1),,0.0,,x,215.7808984280414,215.4,0.38089842804140517
Venda por percentual de diferença (2),,1002.7891953800557,,2.7891953800557303,215.7808984280414,215.6,0.18089842804141654
Compra (3),215.9,0.0,4.644692891987289,,,,
Venda por prejuizo (4),,999.0734410664659,,-0.9265589335341247,215.7808984280414,215.1,0.6808984280414165
Compra (0),215.2,0.0,4.642534577446403,,,,
Venda por percentual de diferença (1),,1000.4662014396998,,0.4662014396998302,215.58312615074564,215.5,0.08312615074564178
Compra (2),215.6,0.0,4.640381268273191,,,,
(no final do período 3),,0.0,,x,215.58312615074564,215.6,-0.016873849254352535
Venda (4),,1000.9302395665272,,0.9302395665272343,215.58312615074564,215.7,-0.11687384925434685
Compra (0),215.8,0.0,4.638230952578903,,,,
(no final do período 1),,0.0,,x,216.10050898566655,215.6,0.5005089856665563
(no final do período 2),,0.0,,x,216.10050898566655,215.5,0.6005089856665506
Venda por prejuizo (3),,997.683477899722,,-2.316522100278007,216.10050898566655,215.1,1.0005089856665563
Compra (4),215.2,0.0,4.636075640797965,,,,
(no final do período 0),,0.0,,x,215.41132981341113,214.7,0.7113298134111403
Venda por prejuizo (1),,990.2657568744453,,-9.734243125554713,215.41132981341113,213.6,1.8113298134111346
Compra (2),213.4,0.0,4.64042060391024,,,,
Venda por percentual de diferença (3),,991.6578830556182,,-8.342116944381814,215.41132981341113,213.7,1.7113298134111403
Compra (4),213.8,0.0,4.638250154610001,,,,
(no final do período 0),,0.0,,x,214.19336058724593,213.8,0.3933605872459225
Venda por percentual de diferença (1),,992.1217080710792,,-7.878291928920817,214.19336058724593,213.9,0.2933605872459282
Compra (2),213.7,0.0,4.642591053210478,,,,
Venda por percentual de diferença (3),,993.0502262817213,,-6.9497737182787205,214.19336058724593,213.9,0.2933605872459282
Compra (4),214.2,0.0,4.636088824844637,,,,
(no final do período 0),,0.0,,x,214.4236954496395,214.1,0.3236954496395015
(no final do período 1),,0.0,,x,214.4236954496395,214.2,0.22369544963950716
(no final do período 2),,0.0,,x,214.4236954496395,214.0,0.4236954496394958
(no final do período 3),,0.0,,x,214.4236954496395,213.9,0.5236954496394901
(no final do período 4),,0.0,,x,214.4236954496395,213.9,0.5236954496394901
(no final do período 0),,0.0,,x,214.19508188803965,213.7,0.4950818880396639
(no final do período 1),,0.0,,x,214.19508188803965,214.0,0.19508188803965254
(no final do período 2),,0.0,,x,214.19508188803965,214.2,-0.004918111960336091
Venda (3),,993.9774440466902,,-6.022555953309848,214.19508188803965,214.4,-0.20491811196035314
Compra (4),214.5,0.0,4.633927478073147,,,,
Venda por percentual de diferença (0),,1011.5863684633681,,11.586368463368103,220.24845124247588,218.3,1.948451242475869
Compra (1),219.0,0.0,4.6191158377322745,,,,
(no final do período 2),,0.0,,x,220.24845124247588,219.0,1.2484512424758805
(no final do período 3),,0.0,,x,220.24845124247588,218.4,1.8484512424758748
Venda por prejuizo (4),,1005.5815178743161,,5.581517874316091,220.24845124247588,217.7,2.548451242475892
