Tipo de Operação,Preço de Compra,Saldo,Ativo em Carteira,Lucro,Valor Previsto,Valor Real,Diferença
Compra (0),"214,7",0,"4,65766185374942",,,,
(no final do período 1),,0,,x,"[215,32667628]","214,7","[0,62667628]"
(no final do período 2),,0,,x,"[215,32667628]","214,5","[0,82667628]"
(no final do período 3),,0,,x,"[215,32667628]","214,7","[0,62667628]"
Venda por percentual de diferença (4),,"1000,46576618538",,"0,46576618537506","[215,32667628]","214,8","[0,52667628]"
Compra (0),"215,2",0,"4,64900448970899",,,,
Venda por percentual de diferença (1),,"1002,32536798126",,"2,32536798125864","[215,82751055]","215,6","[0,22751055]"
Compra (2),"215,3",0,"4,65548243372624",,,,
Venda por percentual de diferença (3),,"1003,256464468",,"3,25646446800374","[215,82751055]","215,5","[0,32751055]"
Compra (4),"215,5",0,"4,65548243372624",,,,
Venda por percentual de diferença (0),,"1004,18756095475",,"4,18756095474896","[216,26997485]","215,7","[0,56997485]"
Compra (1),"215,7",0,"4,65548243372624",,,,
Venda por percentual de diferença (2),,"1005,58420568487",,"5,5842056848669","[216,26997485]",216,"[0,26997485]"
Compra (3),"215,8",0,"4,65979706063423",,,,
Venda por percentual de diferença (4),,"1007,44812450912",,"7,44812450912048","[216,26997485]","216,2","[0,06997485]"
Compra (0),"215,8",0,"4,6684343119051",,,,
Venda por percentual de diferença (1),,"1008,3818113715",,"8,3818113715015","[216,55867836]",216,"[0,55867836]"
Compra (2),"216,1",0,"4,66627399986812",,,,
(no final do período 3),,0,,x,"[216,55867836]","215,7","[0,85867836]"
(no final do período 4),,0,,x,"[216,55867836]","215,9","[0,65867836]"
(no final do período 0),,0,,x,"[216,39639447]","215,8","[0,59639447]"
(no final do período 1),,0,,x,"[216,39639447]","215,8","[0,59639447]"
(no final do período 2),,0,,x,"[216,39639447]","215,8","[0,59639447]"
(no final do período 3),,0,,x,"[216,39639447]","215,9","[0,49639447]"
(no final do período 4),,0,,x,"[216,39639447]","215,7","[0,69639447]"
(no final do período 0),,0,,x,"[216,15420955]","215,5","[0,65420955]"
(no final do período 1),,0,,x,"[216,15420955]","215,6","[0,55420955]"
(no final do período 2),,0,,x,"[216,15420955]","215,7","[0,45420955]"
(no final do período 3),,0,,x,"[216,15420955]","215,8","[0,35420955]"
(no final do período 4),,0,,x,"[216,15420955]","215,7","[0,45420955]"
(no final do período 0),,0,,x,"[216,24160909]","215,7","[0,54160909]"
(no final do período 1),,0,,x,"[216,24160909]","215,7","[0,54160909]"
(no final do período 2),,0,,x,"[216,24160909]","215,7","[0,54160909]"
(no final do período 3),,0,,x,"[216,24160909]","215,5","[0,74160909]"
(no final do período 4),,0,,x,"[216,24160909]","215,7","[0,54160909]"
(no final do período 0),,0,,x,"[216,1769679]","215,7","[0,4769679]"
Venda por prejuizo (1),,"1003,71553737163",,"3,71553737163345","[216,1769679]","215,1","[1,0769679]"
Compra (2),"215,2",0,"4,66410565693138",,,,
Venda por percentual de diferença (3),,"1004,64835850302",,"4,64835850301984","[216,1769679]","215,4","[0,7769679]"
Compra (4),"215,5",0,"4,66194133876111",,,,
(no final do período 0),,0,,x,"[215,76550129]",215,"[0,76550129]"
(no final do período 1),,0,,x,"[215,76550129]","215,1","[0,66550129]"
Venda por prejuizo (2),,"1001,38499956589",,"1,38499956588714","[215,76550129]","214,8","[0,96550129]"
Compra (3),"214,8",0,"4,66194133876111",,,,
(no final do período 4),,0,,x,"[215,76550129]","214,7","[1,06550129]"
(no final do período 0),,0,,x,"[215,07449871]","214,6","[0,47449871]"
(no final do período 1),,0,,x,"[215,07449871]","214,5","[0,57449871]"
(no final do período 2),,0,,x,"[215,07449871]","214,6","[0,47449871]"
(no final do período 3),,0,,x,"[215,07449871]","214,8","[0,27449871]"
Venda por percentual de diferença (4),,"1001,85119369976",,"1,85119369976326","[215,07449871]","214,9","[0,17449871]"
Compra (0),"214,7",0,"4,66628408802871",,,,
Venda por percentual de diferença (1),,"1003,25107892617",,"3,25107892617189","[215,33510602]",215,"[0,33510602]"
Compra (2),215,0,"4,66628408802871",,,,
(no final do período 3),,0,,x,"[215,33510602]","214,8","[0,53510602]"
