Tipo de Operação,Preço de Compra,Saldo,Ativo em Carteira,Lucro,Valor Previsto,Valor Real,Diferença
Compra (0),26928.5,0.0,0.03713537701691516,,,,
(no final do período 1),,0.0,,x,[26970.88232771],26928.06,[42.82232771]
(no final do período 2),,0.0,,x,[26970.88232771],26918.49,[52.39232771]
Venda por percentual de diferença (3),,1000.1151196687523,,0.11511966875229973,[26970.88232771],26931.6,[39.28232771]
Compra (4),26935.98,0.0,0.037129338515574796,,,,
Venda por percentual de diferença (0),,1001.50412822262,,1.504128222620011,[27020.16850099],26973.39,[46.77850099]
Compra (1),26994.13,0.0,0.037100811480963454,,,,
(no final do período 2),,0.0,,x,[27020.16850099],26978.66,[41.50850099]
(no final do período 3),,0.0,,x,[27020.16850099],26994.12,[26.04850099]
(no final do período 4),,0.0,,x,[27020.16850099],26992.38,[27.78850099]
Venda por percentual de diferença (0),,1002.5288526357242,,2.5288526357242063,[27067.12182011],27021.75,[45.37182011]
Compra (1),27016.41,0.0,0.03710814474002002,,,,
Venda por percentual de diferença (2),,1003.4083156660628,,3.4083156660627765,[27067.12182011],27040.11,[27.01182011]
Compra (3),26996.29,0.0,0.037168378161075565,,,,
Venda por percentual de diferença (4),,1003.8993099415704,,3.8993099415704364,[27067.12182011],27009.5,[57.62182011]
Compra (0),26989.45,0.0,0.03719598991241283,,,,
Venda por percentual de diferença (1),,1005.2919278038912,,5.2919278038912125,[27032.83538367],27026.89,[5.94538367]
Compra (2),27020.92,0.0,0.03720420799158176,,,,
(no final do período 3),,0.0,,x,[27032.83538367],26986.47,[46.36538367]
(no final do período 4),,0.0,,x,[27032.83538367],27013.26,[19.57538367]
Venda por percentual de diferença (0),,1005.5664948588692,,5.566494858869191,[27062.2653252],27028.3,[33.9653252]
Compra (1),27017.55,0.0,0.037219011156040024,,,,
(no final do período 2),,0.0,,x,[27062.2653252],27014.0,[48.2653252]
(no final do período 3),,0.0,,x,[27062.2653252],27008.69,[53.5753252]
(no final do período 4),,0.0,,x,[27062.2653252],26995.6,[66.6653252]
(no final do período 0),,0.0,,x,[27029.14996371],26999.98,[29.16996371]
(no final do período 1),,0.0,,x,[27029.14996371],26994.01,[35.13996371]
(no final do período 2),,0.0,,x,[27029.14996371],26999.0,[30.14996371]
Venda (3),,1006.1984736682987,,6.198473668298675,[27029.14996371],27034.53,[-5.38003629]
Compra (4),27020.7,0.0,0.0372380609557968,,,,
Venda por percentual de diferença (0),,1006.8762063776941,,6.876206377694075,[27075.86618478],27038.9,[36.96618478]
Compra (1),27029.71,0.0,0.03725072175682588,,,,
Venda por percentual de diferença (2),,1008.2652857920061,,8.265285792006125,[27075.86618478],27067.0,[8.86618478]
Compra (3),27064.15,0.0,0.03725464445740975,,,,
Venda (4),,1008.7291061155008,,8.729106115500826,[27075.86618478],27076.6,[-0.73381522]
Compra (0),27065.8,0.0,0.037269510087102574,,,,
(no final do período 1),,0.0,,x,[27100.12424486],26998.74,[101.38424486]
(no final do período 2),,0.0,,x,[27100.12424486],26999.28,[100.84424486]
(no final do período 3),,0.0,,x,[27100.12424486],27016.99,[83.13424486]
(no final do período 4),,0.0,,x,[27100.12424486],27029.28,[70.84424486]
(no final do período 0),,0.0,,x,[27048.33163977],27009.45,[38.88163977]
