Tipo de Operação,Preço de Compra,Saldo,Ativo em Carteira,high real,Lucro,Valor Previsto,Valor Real,Diferença
Compra (0),27350.59,0.0,0.03656228256867585,27400.01,,,,
(Periodo atual: 3),,999.0870398042601,,27410.6,-0.9129601957398563,27445.6231062026,27325.62,120.0031062026028
Compra (0),27345.0,0.0,0.03653637007878077,27356.91,,,,
(Periodo atual: 3),,1001.6683343503262,,27442.59,1.6683343503261767,27412.96819488402,27415.65,-2.68180511598257
Compra (0),27385.44,0.0,0.03657667484438177,27425.0,,,,
(Periodo atual: 3),,1003.613116151802,,27486.2,3.6131161518020463,27449.194758855883,27438.61,10.584758855882683
Compra (0),27435.4,0.0,0.036580954392930375,27446.2,,,,
(Periodo atual: 3),,1000.9200262893944,,27388.89,0.9200262893944,27476.15565801623,27361.78,114.37565801622986
Compra (0),27300.48,0.0,0.03666309260091377,27361.78,,,,
(Periodo atual: 3),,1001.4314764311772,,27371.43,1.4314764311772024,27381.309023523536,27314.43,66.87902352353558
Compra (0),27275.0,0.0,0.036716094461271394,27339.63,,,,
(Periodo atual: 3),,1004.1466316165884,,27395.0,4.146631616588365,27364.329958373386,27348.95,15.379958373385307
Compra (0),27394.25,0.0,0.03665537956383505,27396.97,,,,
(Periodo atual: 3),,1003.5909360624006,,27415.44,3.5909360624006013,27438.55919813243,27379.09,59.46919813242857
Compra (0),27400.06,0.0,0.03662732621981122,27431.95,,,,
(Periodo atual: 3),,1000.9354549114644,,27340.0,0.935454911464376,27461.766071766066,27327.56,134.20607176606427
Compra (0),27404.21,0.0,0.03652487902083163,27410.93,,,,
(Periodo atual: 3),,1003.0973625007075,,27469.65,3.0973625007075043,27471.280051106343,27463.4,7.880051106341853
Compra (0),27426.46,0.0,0.03657407344953405,27466.55,,,,
(Periodo atual: 3),,997.0827561219317,,27373.66,-2.917243878068348,27493.145105666485,27262.01,231.1351056664862
Compra (0),27310.43,0.0,0.036509229481993935,27350.02,,,,
(Periodo atual: 3),,997.0670571532544,,27353.97,-2.9329428467456182,27405.454254277483,27310.0,95.45425427748341
Compra (0),27336.8,0.0,0.03647343716723444,27349.96,,,,
(Periodo atual: 3),,998.9016710427662,,27467.47,-1.0983289572337753,27386.05243557279,27387.1,-1.0475644272082718
Compra (0),27412.14,0.0,0.03644011999948805,27426.43,,,,
(Periodo atual: 3),,998.783605053968,,27448.32,-1.2163949460319827,27463.568757041947,27408.9,54.668757041945355
Compra (0),27430.43,0.0,0.03641151834127165,27435.8,,,,
(Periodo atual: 3),,997.34025246692,,27421.78,-2.659747533080008,27470.97557826375,27390.79,80.18557826375036
Compra (0),27388.69,0.0,0.03641431015747449,27405.53,,,,
(Periodo atual: 3),,997.9461865879405,,27406.86,-2.053813412059526,27432.4316952723,27405.33,27.101695272296638
Compra (0),27407.18,0.0,0.03641185217114422,27407.42,,,,
(Periodo atual: 3),,997.2325142853861,,27387.74,-2.76748571461394,27437.343457128543,27387.58,49.76345712854163
Compra (0),27419.99,0.0,0.03636881393047138,27419.99,,,,
(Periodo atual: 3),,997.5318296240338,,27428.23,-2.468170375966224,27459.977730604292,27428.22,31.757730604291282
Compra (0),27453.78,0.0,0.036334953861509554,27453.78,,,,
(Periodo atual: 3),,1000.4822278775883,,27538.95,0.4822278775883433,27490.502348548944,27534.98,-44.47765145105586
Compra (0),27519.93,0.0,0.03635482458994584,27574.11,,,,
(Periodo atual: 3),,1002.6722425108866,,27585.12,2.6722425108865764,27608.306392602775,27580.17,28.13639260277705
Compra (0),27630.0,0.0,0.03628925959141826,27638.87,,,,
(Periodo atual: 3),,999.587655445616,,27557.64,-0.41234455438404893,27685.458700712228,27545.0,140.45870071222816
Compra (0),27530.05,0.0,0.03630896621857265,27545.0,,,,
(Periodo atual: 3),,1002.2636262559248,,27603.75,2.2636262559248053,27573.043549189075,27603.75,-30.706450810925162
Compra (0),27572.43,0.0,0.03635021020112934,27603.75,,,,
(Periodo atual: 3),,1004.0655061755947,,27626.9,4.065506175594692,27634.321350058668,27622.0,12.321350058668031
Compra (0),27570.02,0.0,0.03641874420749766,27633.42,,,,
(Periodo atual: 3),,1001.0511267175401,,27562.69,1.0511267175401144,27657.18344783777,27487.25,169.93344783777138
Compra (0),27420.0,0.0,0.036508064431711895,27513.99,,,,
(Periodo atual: 3),,1000.5038708317087,,27431.2,0.5038708317086957,27540.07100400475,27405.01,135.06100400475043
Compra (0),27386.94,0.0,0.03653215258191345,27412.62,,,,
(Periodo atual: 3),,1002.1343008014396,,27475.0,2.134300801439622,27450.417876465835,27431.57,18.847876465835725
Compra (0),27404.22,0.0,0.036568612454630695,27456.29,,,,
(Periodo atual: 3),,1007.045831140221,,27597.45,7.045831140221026,27478.893170806823,27538.53,-59.6368291931758
Compra (0),27524.06,0.0,0.03658783737356411,27590.0,,,,
(Periodo atual: 3),,1007.483055796835,,27541.0,7.483055796834947,27615.207427615616,27536.01,79.19742761561793
Compra (0),27539.51,0.0,0.03658318742043105,27562.63,,,,
(Periodo atual: 3),,1007.2540450435831,,27579.85,7.254045043583119,27593.94343926529,27533.25,60.69343926529109
Compra (0),27627.42,0.0,0.036458491058650545,27630.0,,,,
(Periodo atual: 3),,1006.8901893028178,,27768.04,6.8901893028178165,27686.197504802534,27617.44,68.75750480253555
Compra (0),27618.1,0.0,0.03645761979653987,27674.6,,,,
(Periodo atual: 3),,1010.1392923790855,,27733.24,10.139292379085532,27705.839397475294,27707.22,-1.3806025247067737
Compra (0),27648.98,0.0,0.03653441437547011,27709.49,,,,
(Periodo atual: 3),,1012.9429433382592,,27788.85,12.94294333825917,27730.037976737698,27725.72,4.317976737696881
Compra (0),27686.59,0.0,0.03658604917898012,27725.73,,,,
(Periodo atual: 3),,1015.51055226964,,27774.57,15.510552269640016,27747.35680677681,27756.77,-9.41319322319032
Compra (0),27752.75,0.0,0.036591348686873915,27777.48,,,,
(Periodo atual: 3),,1016.4648546433938,,27824.94,16.464854643393778,27807.612362232252,27778.83,28.782362232250307
Compra (0),27778.57,0.0,0.036591691172129945,27794.14,,,,
(Periodo atual: 3),,1016.9442057977485,,27801.01,16.94420579774851,27825.82173237866,27791.67,34.15173237866111
Compra (0),27811.78,0.0,0.03656523263875051,27896.07,,,,
(Periodo atual: 3),,1013.2876825338735,,27738.08,13.287682533873522,27929.390806987944,27711.78,217.61080698794467
