Tipo de Operação,Preço de Compra,Saldo,Ativo em Carteira,Lucro,Valor Previsto,Valor Real,Diferença
Compra (0),26928.5,0.0,0.03713537701691516,,,,
(no final do período 1),,0.0,,x,[26979.13659828],26928.06,[51.07659828]
(no final do período 2),,0.0,,x,[26979.13659828],26918.49,[60.64659828]
Venda por percentual de diferença (3),,1000.1151196687523,,0.11511966875229973,[26979.13659828],26931.6,[47.53659828]
Compra (4),26935.98,0.0,0.037129338515574796,,,,
Venda por percentual de diferença (0),,1001.50412822262,,1.504128222620011,[27020.48652041],26973.39,[47.09652041]
Compra (1),26994.13,0.0,0.037100811480963454,,,,
(no final do período 2),,0.0,,x,[27020.48652041],26978.66,[41.82652041]
(no final do período 3),,0.0,,x,[27020.48652041],26994.12,[26.36652041]
(no final do período 4),,0.0,,x,[27020.48652041],26992.38,[28.10652041]
Venda por percentual de diferença (0),,1002.5288526357242,,2.5288526357242063,[27066.85138771],27021.75,[45.10138771]
Compra (1),27016.41,0.0,0.03710814474002002,,,,
Venda por percentual de diferença (2),,1003.4083156660628,,3.4083156660627765,[27066.85138771],27040.11,[26.74138771]
Compra (3),26996.29,0.0,0.037168378161075565,,,,
Venda por percentual de diferença (4),,1003.8993099415704,,3.8993099415704364,[27066.85138771],27009.5,[57.35138771]
Compra (0),26989.45,0.0,0.03719598991241283,,,,
Venda por percentual de diferença (1),,1005.2919278038912,,5.2919278038912125,[27036.10854487],27026.89,[9.21854487]
Compra (2),27020.92,0.0,0.03720420799158176,,,,
(no final do período 3),,0.0,,x,[27036.10854487],26986.47,[49.63854487]
(no final do período 4),,0.0,,x,[27036.10854487],27013.26,[22.84854487]
Venda por percentual de diferença (0),,1005.5664948588692,,5.566494858869191,[27062.93691547],27028.3,[34.63691547]
Compra (1),27017.55,0.0,0.037219011156040024,,,,
(no final do período 2),,0.0,,x,[27062.93691547],27014.0,[48.93691547]
(no final do período 3),,0.0,,x,[27062.93691547],27008.69,[54.24691547]
(no final do período 4),,0.0,,x,[27062.93691547],26995.6,[67.33691547]
(no final do período 0),,0.0,,x,[27033.08007219],26999.98,[33.10007219]
(no final do período 1),,0.0,,x,[27033.08007219],26994.01,[39.07007219]
(no final do período 2),,0.0,,x,[27033.08007219],26999.0,[34.08007219]
Venda (3),,1006.1984736682987,,6.198473668298675,[27033.08007219],27034.53,[-1.44992781]
Compra (4),27020.7,0.0,0.0372380609557968,,,,
