Tipo de Operação,Preço de Compra,Saldo,Ativo em Carteira,Lucro,Valor Previsto,Valor Real,Diferença
Compra (3),15.9,0.0,62.893081761006286,,,,
Venda (4),,1002.5157232704402,,2.515723270440162,[15.89664304],15.94,[-0.04335696]
Compra (4),16.01,0.0,62.618096394156154,,,,
Venda (no final do período 0),,1003.1419042343815,,3.1419042343815136,[16.08511835],16.02,[0.06511835]
Compra (1),16.02,0.0,62.618096394156154,,,,
Venda (2),,1003.7680851983232,,3.768085198323206,[15.99985745],16.03,[-0.03014255]
Compra (3),16.08,0.0,62.423388382980306,,,,
Venda (no final do período 0),,1003.1438513144935,,3.1438513144935314,[16.09614411],16.07,[0.02614411]
Compra (2),16.15,0.0,62.11417036003056,,,,
Venda (no final do período 0),,1000.6592845000923,,0.6592845000923262,[16.18609095],16.11,[0.07609095]
Compra (4),16.09,0.0,62.19137877564278,,,,
Venda (no final do período 0),,1031.7549738879138,,31.75497388791382,[16.95735255],16.59,[0.36735255]
Compra (4),16.46,0.0,62.68256220461201,,,,
Venda (no final do período 0),,1031.1281482658676,,31.128148265867594,[16.48830755],16.45,[0.03830755]
Compra (3),16.49,0.0,62.53051232661417,,,,
Venda (4),,1033.0040636356662,,33.00406363566617,[16.48830755],16.52,[-0.03169245]
