Tipo de Operação,Preço de Compra,Saldo,Ativo em Carteira,Lucro,Valor Previsto,Valor Real,Diferença
Compra (0),"16,02",0,"62,4219725343321",,,,
(no final do período 1),,0,,x,"[16,07754749]","16,02","[0,05754749]"
(no final do período 2),,0,,x,"[16,07754749]","15,99","[0,08754749]"
Venda por percentual de diferença (3),,"1001,24843945069",,"1,24843945068653","[16,07754749]","16,04","[0,03754749]"
Compra (4),"16,01",0,"62,5389406277755",,,,
Venda por percentual de diferença (0),,"1004,37538648208",,"4,37538648207521","[16,12468241]","16,06","[0,06468241]"
Compra (1),"16,06",0,"62,5389406277755",,,,
(no final do período 2),,0,,x,"[16,12468241]","16,03","[0,09468241]"
(no final do período 3),,0,,x,"[16,12468241]","16,03","[0,09468241]"
(no final do período 4),,0,,x,"[16,12468241]","16,03","[0,09468241]"
Venda por percentual de diferença (0),,"1005,00077588835",,"5,00077588835302","[16,13868517]","16,07","[0,06868517]"
Compra (1),"16,03",0,"62,6949953766908",,,,
(no final do período 2),,0,,x,"[16,13868517]","16,03","[0,10868517]"
Venda por percentual de diferença (3),,"1008,76247561095",,"8,76247561095431","[16,13868517]","16,09","[0,04868517]"
Compra (4),"16,59",0,"60,8054536233246",,,,
Venda por percentual de diferença (0),,"1014,84302097329",,"14,8430209732869","[16,97355576]","16,69","[0,28355576]"
Compra (1),"16,8",0,"60,4073226769814",,,,
Venda por prejuizo (2),,"1007,59414225205",,"7,5941422520491","[16,97355576]","16,68","[0,29355576]"
Compra (3),"16,52",0,"60,9923814922548",,,,
Venda por percentual de diferença (4),,"1012,47353277143",,"12,4735327714295","[16,97355576]","16,6","[0,37355576]"
Compra (0),"16,46",0,"61,5111502291269",,,,
(no final do período 1),,0,,x,"[16,69856412]","16,43","[0,26856412]"
(no final do período 2),,0,,x,"[16,69856412]","16,44","[0,25856412]"
(no final do período 3),,0,,x,"[16,69856412]","16,43","[0,26856412]"
Venda por prejuizo (4),,"1007,5526407531",,"7,55264075309924","[16,69856412]","16,38","[0,31856412]"
Compra (0),"16,42",0,"61,3613057705907",,,,
(no final do período 1),,0,,x,"[16,50716818]","16,4","[0,10716818]"
(no final do período 2),,0,,x,"[16,50716818]","16,4","[0,10716818]"
Venda por percentual de diferença (3),,"1010,00709298392",,"10,0070929839228","[16,50716818]","16,46","[0,04716818]"
Compra (4),"16,45",0,"61,3986074762263",,,,
Venda por percentual de diferença (0),,"1010,62107905869",,"10,6210790586852","[16,56338131]","16,46","[0,10338131]"
Compra (1),"16,47",0,"61,3613284188637",,,,
Venda por percentual de diferença (2),,"1011,84830562706",,"11,8483056270625","[16,56338131]","16,49","[0,07338131]"
Compra (3),"16,52",0,"61,2498974350522",,,,
Venda por percentual de diferença (4),,"1013,68580255011",,"13,6858025501142","[16,56338131]","16,55","[0,01338131]"
Compra (0),"16,53",0,"61,3240049939573",,,,
Venda por prejuizo (1),,"1008,16664210066",,"8,16664210065801","[16,60329755]","16,44","[0,16329755]"
Compra (2),"16,41",0,"61,4361146923009",,,,
Venda por percentual de diferença (3),,"1012,46717012912",,"12,467170129119","[16,60329755]","16,48","[0,12329755]"
Compra (4),"16,51",0,"61,3244803227813",,,,
Venda por prejuizo (0),,"1008,17445650652",,"8,17445650652439","[16,55305389]","16,44","[0,11305389]"
Compra (1),"16,49",0,"61,13853587062",,,,
Venda por prejuizo (2),,"1005,11752971299",,"5,11752971299347","[16,55305389]","16,44","[0,11305389]"
Compra (3),"16,41",0,"61,2503065029246",,,,
Venda por prejuizo (4),,"1000,83000825779",,"0,830008257788677","[16,55305389]","16,34","[0,21305389]"
Compra (0),"16,35",0,"61,2128445417608",,,,
(no final do período 1),,0,,x,"[16,4126092]","16,33","[0,0826092]"
Venda por prejuizo (2),,"997,769366030701",,"-2,23063396929945","[16,4126092]","16,3","[0,1126092]"
Compra (3),"16,35",0,"61,0256492985138",,,,
Venda por percentual de diferença (4),,"998,989879016671",,"-1,01012098332922","[16,4126092]","16,37","[0,0426092]"
Compra (0),"16,35",0,"61,1002984108056",,,,
Venda por percentual de diferença (1),,"1000,82288796899",,"0,822887968994905","[16,43209394]","16,38","[0,05209394]"
Compra (2),"16,38",0,"61,1002984108056",,,,
(no final do período 3),,0,,x,"[16,43209394]","16,38","[0,05209394]"
(no final do período 4),,0,,x,"[16,43209394]","16,37","[0,06209394]"
(no final do período 0),,0,,x,"[16,44259953]","16,38","[0,06259953]"
Venda por prejuizo (1),,"996,545867080238",,"-3,45413291976161","[16,44259953]","16,31","[0,13259953]"
Compra (2),"16,33",0,"61,0254664470446",,,,
(no final do período 3),,0,,x,"[16,44259953]","16,3","[0,14259953]"
Venda por percentual de diferença (4),,"997,156121744709",,"-2,84387825529097","[16,44259953]","16,34","[0,10259953]"
Compra (0),"16,35",0,"60,9881420027345",,,,
(no final do período 1),,0,,x,"[16,40827808]","16,34","[0,06827808]"
(no final do período 2),,0,,x,"[16,40827808]","16,32","[0,08827808]"
(no final do período 3),,0,,x,"[16,40827808]","16,35","[0,05827808]"
(no final do período 4),,0,,x,"[16,40827808]","16,31","[0,09827808]"
(no final do período 0),,0,,x,"[16,3804987]","16,33","[0,0504987]"
Venda por prejuizo (1),,"994,106714644572",,"-5,89328535542779","[16,3804987]","16,3","[0,0804987]"
Compra (2),"16,32",0,"60,9134016326331",,,,
(no final do período 3),,0,,x,"[16,3804987]","16,3","[0,0804987]"
(no final do período 4),,0,,x,"[16,3804987]","16,3","[0,0804987]"
(no final do período 0),,0,,x,"[16,37054186]","16,32","[0,05054186]"
(no final do período 1),,0,,x,"[16,37054186]","16,28","[0,09054186]"
(no final do período 2),,0,,x,"[16,37054186]","16,29","[0,08054186]"
Venda por percentual de diferença (3),,"994,715848660898",,"-5,28415133910164","[16,37054186]","16,33","[0,04054186]"
Compra (4),"16,35",0,"60,8388898263546",,,,
(no final do período 0),,0,,x,"[16,39851302]","16,32","[0,07851302]"
(no final do período 1),,0,,x,"[16,39851302]","16,35","[0,04851302]"
(no final do período 2),,0,,x,"[16,39851302]","16,34","[0,05851302]"
Venda por prejuizo (3),,"991,673904169581",,"-8,32609583041949","[16,39851302]","16,3","[0,09851302]"
Compra (4),"16,27",0,"60,9510697092551",,,,
Venda por percentual de diferença (0),,"992,283414866673",,"-7,71658513332693","[16,33413411]","16,28","[0,05413411]"
Compra (1),"16,3",0,"60,8762831206548",,,,
Venda (2),,"995,327229022706",,"-4,67277097729414","[16,33413411]","16,35","[-0,01586589]"
Compra (3),"16,37",0,"60,8019076983938",,,,
(no final do período 4),,0,,x,"[16,33413411]","16,34","[-0,00586589]"
Venda por percentual de diferença (0),,"998,367324407626",,"-1,63267559237443","[16,49547946]","16,42","[0,07547946]"
Compra (1),"16,57",0,"60,2514981537493",,,,
Venda por prejuizo (2),,"995,354749499938",,"-4,64525050006193","[16,49547946]","16,52","[-0,02452054]"
Compra (3),"16,48",0,"60,3977396541225",,,,
Venda (4),,"997,166681689562",,"-2,83331831043824","[16,49547946]","16,51","[-0,01452054]"
