Tipo de Operação,Preço de Compra,Saldo,Ativo em Carteira,Lucro,Valor Previsto,Valor Real,Diferença
Compra (0),16.04,0.0,62.34413965087282,,,,
(no final do período 1),,0.0,,x,16.099384932852857,16.05,0.04938493285285617
(no final do período 2),,0.0,,x,16.099384932852857,16.07,0.029384932852856593
(no final do período 3),,0.0,,x,16.099384932852857,16.03,0.06938493285285574
(no final do período 4),,0.0,,x,16.099384932852857,16.05,0.04938493285285617
(no final do período 0),,0.0,,x,16.094940237428702,16.02,0.07494023742870226
(no final do período 1),,0.0,,x,16.094940237428702,16.08,0.01494023742870354
Venda (2),,1004.3640897755611,,4.3640897755610695,16.094940237428702,16.11,-0.015059762571297597
Compra (3),16.04,0.0,62.61621507328935,,,,
(no final do período 4),,0.0,,x,16.094940237428702,16.0,0.09494023742870183
(no final do período 0),,0.0,,x,16.03109886180945,15.99,0.04109886180945033
(no final do período 1),,0.0,,x,16.03109886180945,15.93,0.10109886180945082
(no final do período 2),,0.0,,x,16.03109886180945,15.95,0.08109886180945125
(no final do período 3),,0.0,,x,16.03109886180945,15.93,0.10109886180945082
(no final do período 4),,0.0,,x,16.03109886180945,15.9,0.13109886180945018
(no final do período 0),,0.0,,x,15.933085543287868,15.88,0.05308554328786741
(no final do período 1),,0.0,,x,15.933085543287868,15.82,0.1130855432878679
(no final do período 2),,0.0,,x,15.933085543287868,15.9,0.033085543287867836
(no final do período 3),,0.0,,x,15.933085543287868,15.9,0.033085543287867836
(no final do período 4),,0.0,,x,15.933085543287868,15.87,0.06308554328786897
(no final do período 0),,0.0,,x,15.902558795512466,15.85,0.052558795512466006
(no final do período 1),,0.0,,x,15.902558795512466,15.89,0.012558795512465082
(no final do período 2),,0.0,,x,15.902558795512466,15.93,-0.027441204487534065
(no final do período 3),,0.0,,x,15.902558795512466,15.91,-0.007441204487534492
(no final do período 4),,0.0,,x,15.902558795512466,15.91,-0.007441204487534492
(no final do período 0),,0.0,,x,15.957016216738216,15.92,0.0370162167382162
(no final do período 1),,0.0,,x,15.957016216738216,15.91,0.04701621673821599
(no final do período 2),,0.0,,x,15.957016216738216,15.87,0.08701621673821691
(no final do período 3),,0.0,,x,15.957016216738216,15.87,0.08701621673821691
(no final do período 4),,0.0,,x,15.957016216738216,15.86,0.0970162167382167
(no final do período 0),,0.0,,x,15.879858848765476,15.82,0.05985884876547587
(no final do período 1),,0.0,,x,15.879858848765476,15.83,0.04985884876547608
(no final do período 2),,0.0,,x,15.879858848765476,15.85,0.02985884876547651
(no final do período 3),,0.0,,x,15.879858848765476,15.79,0.089858848765477
(no final do período 4),,0.0,,x,15.879858848765476,15.7,0.17985884876547686
(no final do período 0),,0.0,,x,15.721956607216498,15.64,0.08195660721649745
(no final do período 1),,0.0,,x,15.721956607216498,15.7,0.021956607216498725
(no final do período 2),,0.0,,x,15.721956607216498,15.61,0.11195660721649858
(no final do período 3),,0.0,,x,15.721956607216498,15.56,0.16195660721649752
(no final do período 4),,0.0,,x,15.721956607216498,15.31,0.4119566072164975
(no final do período 0),,0.0,,x,15.534231643332669,15.43,0.10423164333266932
(no final do período 1),,0.0,,x,15.534231643332669,15.48,0.05423164333266861
(no final do período 2),,0.0,,x,15.534231643332669,15.53,0.004231643332669677
(no final do período 3),,0.0,,x,15.534231643332669,15.49,0.044231643332668824
(no final do período 4),,0.0,,x,15.534231643332669,15.48,0.05423164333266861
(no final do período 0),,0.0,,x,15.577259340546991,15.53,0.04725934054699188
(no final do período 1),,0.0,,x,15.577259340546991,15.53,0.04725934054699188
(no final do período 2),,0.0,,x,15.577259340546991,15.5,0.07725934054699124
(no final do período 3),,0.0,,x,15.577259340546991,15.5,0.07725934054699124
(no final do período 4),,0.0,,x,15.577259340546991,15.54,0.03725934054699209
(no final do período 0),,0.0,,x,15.59155739495758,15.53,0.06155739495758006
(no final do período 1),,0.0,,x,15.59155739495758,15.53,0.06155739495758006
(no final do período 2),,0.0,,x,15.59155739495758,15.53,0.06155739495758006
(no final do período 3),,0.0,,x,15.59155739495758,15.5,0.09155739495757942
(no final do período 4),,0.0,,x,15.59155739495758,15.52,0.07155739495757985
(no final do período 0),,0.0,,x,15.549333931096893,15.5,0.04933393109689277
(no final do período 1),,0.0,,x,15.549333931096893,15.5,0.04933393109689277
(no final do período 2),,0.0,,x,15.549333931096893,15.51,0.03933393109689298
(no final do período 3),,0.0,,x,15.549333931096893,15.53,0.01933393109689341
(no final do período 4),,0.0,,x,15.549333931096893,15.54,0.009333931096893622
(no final do período 0),,0.0,,x,15.584758907058008,15.54,0.044758907058009
(no final do período 1),,0.0,,x,15.584758907058008,15.52,0.06475890705800857
(no final do período 2),,0.0,,x,15.584758907058008,15.5,0.08475890705800815
(no final do período 3),,0.0,,x,15.584758907058008,15.53,0.05475890705800879
(no final do período 4),,0.0,,x,15.584758907058008,15.58,0.004758907058008077
(no final do período 0),,0.0,,x,15.642488424375564,15.59,0.052488424375564335
(no final do período 1),,0.0,,x,15.642488424375564,15.58,0.06248842437556412
(no final do período 2),,0.0,,x,15.642488424375564,15.61,0.03248842437556476
(no final do período 3),,0.0,,x,15.642488424375564,15.59,0.052488424375564335
(no final do período 4),,0.0,,x,15.642488424375564,15.62,0.022488424375564975
(no final do período 0),,0.0,,x,15.68474653011505,15.65,0.03474653011504891
(no final do período 1),,0.0,,x,15.68474653011505,15.68,0.004746530115049552
(no final do período 2),,0.0,,x,15.68474653011505,15.64,0.0447465301150487
(no final do período 3),,0.0,,x,15.68474653011505,15.64,0.0447465301150487
(no final do período 4),,0.0,,x,15.68474653011505,15.61,0.07474653011504984
(no final do período 0),,0.0,,x,15.66485048084533,15.62,0.044850480845330054
(no final do período 1),,0.0,,x,15.66485048084533,15.66,0.00485048084532913
(no final do período 2),,0.0,,x,15.66485048084533,15.65,0.014850480845328917
(no final do período 3),,0.0,,x,15.66485048084533,15.62,0.044850480845330054
(no final do período 4),,0.0,,x,15.66485048084533,15.6,0.06485048084532963
(no final do período 0),,0.0,,x,15.618296153067469,15.57,0.048296153067468595
(no final do período 1),,0.0,,x,15.618296153067469,15.55,0.06829615306746817
(no final do período 2),,0.0,,x,15.618296153067469,15.59,0.02829615306746902
(no final do período 3),,0.0,,x,15.618296153067469,15.58,0.03829615306746881
(no final do período 4),,0.0,,x,15.618296153067469,15.59,0.02829615306746902
(no final do período 0),,0.0,,x,15.611326934221555,15.57,0.04132693422155498
(no final do período 1),,0.0,,x,15.611326934221555,15.61,0.001326934221555831
(no final do período 2),,0.0,,x,15.611326934221555,15.63,-0.01867306577844552
(no final do período 3),,0.0,,x,15.611326934221555,15.58,0.03132693422155519
(no final do período 4),,0.0,,x,15.611326934221555,15.57,0.04132693422155498
(no final do período 0),,0.0,,x,15.60555640703109,15.54,0.06555640703109056
(no final do período 1),,0.0,,x,15.60555640703109,15.5,0.1055564070310897
(no final do período 2),,0.0,,x,15.60555640703109,15.49,0.11555640703108949
(no final do período 3),,0.0,,x,15.60555640703109,15.51,0.09555640703108992
(no final do período 4),,0.0,,x,15.60555640703109,15.44,0.1655564070310902
(no final do período 0),,0.0,,x,15.562018081939236,15.49,0.07201808193923576
(no final do período 1),,0.0,,x,15.562018081939236,15.49,0.07201808193923576
(no final do período 2),,0.0,,x,15.562018081939236,15.55,0.012018081939235259
(no final do período 3),,0.0,,x,15.562018081939236,15.53,0.03201808193923661
(no final do período 4),,0.0,,x,15.562018081939236,15.5,0.06201808193923597
(no final do período 0),,0.0,,x,15.553614330366095,15.48,0.07361433036609455
(no final do período 1),,0.0,,x,15.553614330366095,15.48,0.07361433036609455
(no final do período 2),,0.0,,x,15.553614330366095,15.53,0.023614330366095615
(no final do período 3),,0.0,,x,15.553614330366095,15.59,-0.03638566963390488
(no final do período 4),,0.0,,x,15.553614330366095,15.55,0.003614330366094265
(no final do período 0),,0.0,,x,15.625811976462984,15.58,0.04581197646298385
(no final do período 1),,0.0,,x,15.625811976462984,15.58,0.04581197646298385
(no final do período 2),,0.0,,x,15.625811976462984,15.57,0.05581197646298364
(no final do período 3),,0.0,,x,15.625811976462984,15.58,0.04581197646298385
(no final do período 4),,0.0,,x,15.625811976462984,15.61,0.01581197646298449
(no final do período 0),,0.0,,x,15.657802694157882,15.6,0.05780269415788197
(no final do período 1),,0.0,,x,15.657802694157882,15.56,0.09780269415788112
(no final do período 2),,0.0,,x,15.657802694157882,15.59,0.06780269415788176
(no final do período 3),,0.0,,x,15.657802694157882,15.66,-0.0021973058421185243
(no final do período 4),,0.0,,x,15.657802694157882,15.64,0.01780269415788105
(no final do período 0),,0.0,,x,15.675903950101315,15.6,0.07590395010131523
(no final do período 1),,0.0,,x,15.675903950101315,15.6,0.07590395010131523
(no final do período 2),,0.0,,x,15.675903950101315,15.63,0.045903950101314095
(no final do período 3),,0.0,,x,15.675903950101315,15.63,0.045903950101314095
(no final do período 4),,0.0,,x,15.675903950101315,15.66,0.015903950101314734
(no final do período 0),,0.0,,x,15.681607402345415,15.63,0.0516074023454145
(no final do período 1),,0.0,,x,15.681607402345415,15.68,0.001607402345415565
(no final do período 2),,0.0,,x,15.681607402345415,15.68,0.001607402345415565
(no final do período 3),,0.0,,x,15.681607402345415,15.67,0.011607402345415352
(no final do período 4),,0.0,,x,15.681607402345415,15.67,0.011607402345415352
(no final do período 0),,0.0,,x,15.690638353982868,15.66,0.030638353982867628
(no final do período 1),,0.0,,x,15.690638353982868,15.65,0.040638353982867415
(no final do período 2),,0.0,,x,15.690638353982868,15.67,0.02063835398286784
